,location_id,location_name,sub_population,vehicle,value_description,nutrient,value_mean,value_025_percentile,value_975_percentile,u5_applicable,wra_applicable
185,205,Côte d'Ivoire,,maize flour,percent of population eating fortified vehicle,vitamin a,6.764751526,2.8479874510000003,10.6815156,True,True
186,205,Côte d'Ivoire,,maize flour,percent of population eating fortified vehicle,zinc,6.764751526,2.8479874510000003,10.6815156,True,True
187,205,Côte d'Ivoire,households with children <2 years old,oil,percent of population eating vehicle,na,98.5,97.5,99.3,True,True
188,205,Côte d'Ivoire,households with children <2 years old,oil,percent of population eating industrially produced vehicle,na,98.0,97.0,99.0,True,True
190,205,Côte d'Ivoire,households with children <2 years old,wheat flour,percent of population eating vehicle,na,54.7,50.1,59.6,True,True
191,205,Côte d'Ivoire,households with children <2 years old,wheat flour,percent of population eating industrially produced vehicle,na,11.59295219,7.245354679,15.97924396,True,True
192,205,Côte d'Ivoire,,wheat flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,True,True
193,205,Côte d'Ivoire,,wheat flour,percent of population eating fortified vehicle,iron,10.29812205,5.062578607,15.06370705,True,True
194,205,Côte d'Ivoire,,wheat flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,True,True
195,205,Côte d'Ivoire,,wheat flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,True,True
196,171,Democratic Republic of the Congo,under-5,maize flour,percent of population eating vehicle,na,42.19097559,32.36288609,52.01906508,True,True
197,171,Democratic Republic of the Congo,,maize flour,percent of population eating industrially produced vehicle,na,2.26275,1.7356583840000002,2.7898416160000004,True,True
198,171,Democratic Republic of the Congo,,maize flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,True,True
199,171,Democratic Republic of the Congo,,maize flour,percent of population eating fortified vehicle,iron,0.0,0.0,0.0,True,True
200,171,Democratic Republic of the Congo,,maize flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,True,True
201,171,Democratic Republic of the Congo,,maize flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,True,True
202,171,Democratic Republic of the Congo,,oil,percent of population eating vehicle,na,95.882,81.1,96.80923347,True,True
203,171,Democratic Republic of the Congo,,oil,percent of population eating industrially produced vehicle,na,43.9851604,40.91930675,47.05101405,True,True
205,171,Democratic Republic of the Congo,under-5,wheat flour,percent of population eating vehicle,na,0.58,0.0,1.4,True,True
206,171,Democratic Republic of the Congo,,wheat flour,percent of population eating industrially produced vehicle,na,0.58,0.39309391200000005,0.7669060879999999,True,True
207,171,Democratic Republic of the Congo,,wheat flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,True,True
208,171,Democratic Republic of the Congo,,wheat flour,percent of population eating fortified vehicle,iron,0.0,0.0,0.0,True,True
209,171,Democratic Republic of the Congo,,wheat flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,True,True
210,171,Democratic Republic of the Congo,,wheat flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,True,True
211,11,Indonesia,,oil,percent of population eating vehicle,na,94.37297639,87.79499119,100.0,True,True
212,11,Indonesia,,oil,percent of population eating industrially produced vehicle,na,88.64448315,82.46578538,94.82318091,True,True
214,11,Indonesia,,wheat flour,percent of population eating vehicle,na,75.76164901,37.27518588,100.0,True,True
215,11,Indonesia,,wheat flour,percent of population eating industrially produced vehicle,na,29.65591057,14.59088594,44.7209352,True,True
216,11,Indonesia,total population,wheat flour,percent of population eating fortified vehicle,folic acid,73.1,49.54338792,96.65661208,True,True
217,11,Indonesia,total population,wheat flour,percent of population eating fortified vehicle,iron,73.1,49.54338792,96.65661208,True,True
218,11,Indonesia,,wheat flour,percent of population eating fortified vehicle,vitamin a,,25.98677584,100.0,True,True
219,11,Indonesia,total population,wheat flour,percent of population eating fortified vehicle,zinc,73.1,49.54338792,96.65661208,True,True
220,184,Mozambique,total population,maize flour,percent of population eating vehicle,na,79.9,61.28785985,98.51214015,True,True
221,184,Mozambique,,maize flour,percent of population eating industrially produced vehicle,na,23.97,18.38635796,29.55364204,True,True
222,184,Mozambique,,maize flour,percent of population eating fortified vehicle,folic acid,16.779,12.87045057,20.68754943,True,True
223,184,Mozambique,,maize flour,percent of population eating fortified vehicle,iron,16.779,12.87045057,20.68754943,True,True
224,184,Mozambique,,maize flour,percent of population eating fortified vehicle,vitamin a,16.779,12.87045057,20.68754943,True,True
225,184,Mozambique,,maize flour,percent of population eating fortified vehicle,zinc,16.779,12.87045057,20.68754943,True,True
226,184,Mozambique,total population,oil,percent of population eating vehicle,na,95.2,94.27936186,96.12063814,True,True
227,184,Mozambique,,oil,percent of population eating industrially produced vehicle,na,51.29644932,47.72098421,54.87191443,True,True
229,184,Mozambique,total population,wheat flour,percent of population eating vehicle,na,16.3,11.04729443,21.55270557,True,True
230,184,Mozambique,,wheat flour,percent of population eating industrially produced vehicle,na,16.3,11.04729443,21.55270557,True,True
231,184,Mozambique,,wheat flour,percent of population eating fortified vehicle,folic acid,9.78,6.62837666,12.93162334,True,True
232,184,Mozambique,,wheat flour,percent of population eating fortified vehicle,iron,12.6325,8.561653186000001,16.70334681,True,True
233,184,Mozambique,,wheat flour,percent of population eating fortified vehicle,vitamin a,9.78,6.62837666,12.93162334,True,True
234,184,Mozambique,,wheat flour,percent of population eating fortified vehicle,zinc,9.78,6.62837666,12.93162334,True,True
235,168,Angola,,maize flour,percent of population eating vehicle,na,51.10027827,21.51342155,80.68713498,True,True
236,168,Angola,,maize flour,percent of population eating industrially produced vehicle,na,10.695686,3.278954381,18.61995284,True,True
237,168,Angola,,maize flour,percent of population eating fortified vehicle,folic acid,7.651010713,0.0,15.09214082,True,True
238,168,Angola,,maize flour,percent of population eating fortified vehicle,iron,7.654862574,0.0,15.06860704,True,True
239,168,Angola,,maize flour,percent of population eating fortified vehicle,vitamin a,7.655084569,0.0,15.04915118,True,True
240,168,Angola,,maize flour,percent of population eating fortified vehicle,zinc,7.661087995,0.0,15.09443154,True,True
241,168,Angola,,oil,percent of population eating vehicle,na,90.38470836,84.08471341,96.6847033,True,True
242,168,Angola,,oil,percent of population eating industrially produced vehicle,na,39.10270879,36.37717178,41.8282458,True,True
244,168,Angola,,wheat flour,percent of population eating vehicle,na,27.17197019,13.36877237,40.97516802,True,True
245,168,Angola,,wheat flour,percent of population eating industrially produced vehicle,na,26.26109375,12.92061569,39.6015718,True,True
246,168,Angola,,wheat flour,percent of population eating fortified vehicle,folic acid,16.88838105,8.309184807000001,25.46757729,True,True
247,168,Angola,,wheat flour,percent of population eating fortified vehicle,iron,16.88838105,8.309184807000001,25.46757729,True,True
248,168,Angola,,wheat flour,percent of population eating fortified vehicle,vitamin a,16.88838105,8.309184807000001,25.46757729,True,True
249,168,Angola,,wheat flour,percent of population eating fortified vehicle,zinc,16.88838105,8.309184807000001,25.46757729,True,True
250,6,China,,oil,percent of population eating vehicle,na,57.65137316,53.63295715,61.66978918,True,True
251,6,China,,oil,percent of population eating industrially produced vehicle,na,63.57700507,59.14556066,68.00844948,True,True
253,6,China,,wheat flour,percent of population eating vehicle,na,81.83218981,40.26192838,100.0,True,True
254,6,China,,wheat flour,percent of population eating industrially produced vehicle,na,53.66563361,26.40381373,80.92745349,True,True
255,6,China,,wheat flour,percent of population eating fortified vehicle,folic acid,6.363472477,3.13086664,9.596078315,True,True
256,6,China,,wheat flour,percent of population eating fortified vehicle,iron,6.363472477,3.13086664,9.596078315,True,True
257,6,China,,wheat flour,percent of population eating fortified vehicle,vitamin a,6.363472477,3.13086664,9.596078315,True,True
258,6,China,,wheat flour,percent of population eating fortified vehicle,zinc,6.363472477,3.13086664,9.596078315,True,True
259,141,Egypt,,maize flour,percent of population eating vehicle,na,74.36312059999999,31.30717122,100.0,True,True
260,141,Egypt,,maize flour,percent of population eating industrially produced vehicle,na,31.96821461,13.45874622,50.477683,True,True
261,141,Egypt,,maize flour,percent of population eating fortified vehicle,folic acid,0.000329684,0.00013879799999999998,0.00052057,True,True
262,141,Egypt,,maize flour,percent of population eating fortified vehicle,iron,0.000329684,0.00013879799999999998,0.00052057,True,True
263,141,Egypt,,maize flour,percent of population eating fortified vehicle,vitamin a,0.000329684,0.00013879799999999998,0.00052057,True,True
264,141,Egypt,,maize flour,percent of population eating fortified vehicle,zinc,0.000329684,0.00013879799999999998,0.00052057,True,True
265,141,Egypt,,oil,percent of population eating vehicle,na,54.97329715,51.14154839,58.80504591,True,True
266,141,Egypt,,oil,percent of population eating industrially produced vehicle,na,70.10196356,65.2157165,74.98821062,True,True
268,141,Egypt,,wheat flour,percent of population eating vehicle,na,88.48477203,43.53503875,100.0,True,True
269,141,Egypt,,wheat flour,percent of population eating industrially produced vehicle,na,68.01588749,33.46422474,100.0,True,True
270,141,Egypt,,wheat flour,percent of population eating fortified vehicle,folic acid,15.61643088,7.6833776920000005,23.54948407,True,True
271,141,Egypt,,wheat flour,percent of population eating fortified vehicle,iron,15.61643088,7.6833776920000005,23.54948407,True,True
272,141,Egypt,,wheat flour,percent of population eating fortified vehicle,vitamin a,15.61643088,7.6833776920000005,23.54948407,True,True
