,Location,Vehicle,All,Folic acid,Iron,Vitamin A,Zinc
27,Democratic Republic of the Congo,industry oil,"42,444 (-2,857, 113,818)",Not modeled,Not modeled,"42,444 (-2,857, 113,818)",Not modeled
28,Democratic Republic of the Congo,oil,"24,837 (-1,682, 68,592)",Not modeled,Not modeled,"24,837 (-1,682, 68,592)",Not modeled
29,Egypt,wheat flour,"38,412 (7,922, 70,819)","4,357 (1,015, 12,478)","33,237 (5,095, 64,180)","645 (-35, 1,612)","172 (0, 638)"
30,Egypt,maize flour,"22,001 (3,137, 46,930)","2,541 (549, 7,601)","18,986 (1,042, 42,917)","374 (-22, 1,002)","99 (0, 378)"
31,Egypt,industry oil,"705 (-40, 1,592)",Not modeled,Not modeled,"705 (-40, 1,592)",Not modeled
32,Ethiopia,wheat flour,"55,549 (17,076, 94,468)","14,455 (7,848, 24,477)","27,204 (6,365, 50,042)","13,419 (-1,145, 32,528)","471 (0, 1,715)"
33,Ethiopia,maize flour,"63,420 (18,981, 119,494)","19,789 (7,329, 38,922)","29,970 (4,783, 63,328)","13,193 (-955, 35,964)","467 (0, 1,797)"
34,Ethiopia,industry oil,"33,740 (-2,562, 82,427)",Not modeled,Not modeled,"33,740 (-2,562, 82,427)",Not modeled
35,Ethiopia,oil,"34,795 (-2,784, 84,942)",Not modeled,Not modeled,"34,795 (-2,784, 84,942)",Not modeled
36,Ghana,wheat flour,"22,795 (6,740, 42,541)","6,360 (2,093, 13,194)","14,174 (1,958, 31,486)","2,160 (-151, 5,638)","100 (0, 428)"
37,Ghana,maize flour,"5,096 (1,072, 10,262)","1,397 (443, 3,129)","3,206 (199, 7,582)","471 (-38, 1,349)","22 (0, 92)"
38,Ghana,industry oil,"3,400 (-191, 8,974)",Not modeled,Not modeled,"3,400 (-191, 8,974)",Not modeled
39,Ghana,oil,"3,659 (-197, 9,244)",Not modeled,Not modeled,"3,659 (-197, 9,244)",Not modeled
40,India,wheat flour,"23,263 (4,508, 42,519)","1,793 (672, 3,675)","16,660 (2,729, 33,080)","4,145 (-229, 8,779)","665 (124, 1,608)"
41,India,industry oil,"61,805 (-2,943, 134,527)",Not modeled,Not modeled,"61,805 (-2,943, 134,527)",Not modeled
42,India,oil,"61,759 (-2,941, 132,131)",Not modeled,Not modeled,"61,759 (-2,941, 132,131)",Not modeled
43,Indonesia,wheat flour,"0 (0, 0)",Not modeled,"nan (nan, nan)",Not modeled,Not modeled
44,Indonesia,industry oil,"4,763 (-214, 11,014)",Not modeled,Not modeled,"4,763 (-214, 11,014)",Not modeled
45,Indonesia,oil,"5,411 (-225, 12,548)",Not modeled,Not modeled,"5,411 (-225, 12,548)",Not modeled
46,Kenya,wheat flour,"8,097 (1,991, 14,393)","1,383 (719, 2,326)","4,944 (936, 9,460)","1,697 (-111, 4,046)","73 (2, 232)"
47,Kenya,maize flour,"24,240 (4,990, 45,587)","5,038 (1,886, 9,613)","12,842 (1,829, 25,875)","6,095 (-346, 14,929)","266 (6, 913)"
48,Kenya,industry oil,"4,975 (-290, 12,513)",Not modeled,Not modeled,"4,975 (-290, 12,513)",Not modeled
49,Kenya,oil,"1,556 (-122, 3,904)",Not modeled,Not modeled,"1,556 (-122, 3,904)",Not modeled
50,Madagascar,wheat flour,"16,090 (3,158, 30,829)","3,899 (1,296, 8,243)","6,568 (535, 14,205)","5,215 (-509, 14,864)","409 (15, 1,341)"
51,Madagascar,maize flour,"1,482 (264, 2,980)","357 (118, 764)","609 (33, 1,347)","479 (-52, 1,297)","37 (1, 125)"
52,Madagascar,industry oil,"12,630 (-1,234, 31,035)",Not modeled,Not modeled,"12,630 (-1,234, 31,035)",Not modeled
53,Madagascar,oil,"2,108 (-199, 5,088)",Not modeled,Not modeled,"2,108 (-199, 5,088)",Not modeled
54,Mozambique,wheat flour,"4,541 (1,440, 8,224)","2,084 (844, 4,276)","1,571 (154, 3,141)","812 (-37, 2,082)","74 (7, 222)"
55,Mozambique,maize flour,"6,856 (2,093, 11,832)","2,362 (1,002, 4,776)","3,488 (580, 6,552)","922 (-44, 2,296)","84 (9, 252)"
56,Mozambique,industry oil,"5,714 (-226, 14,352)",Not modeled,Not modeled,"5,714 (-226, 14,352)",Not modeled
57,Mozambique,oil,"2,014 (-89, 5,035)",Not modeled,Not modeled,"2,014 (-89, 5,035)",Not modeled
58,Myanmar,wheat flour,"2,754 (484, 5,229)","537 (186, 1,130)","2,075 (82, 4,333)","138 (-9, 373)","5 (0, 17)"
59,Myanmar,industry oil,"2,323 (-123, 5,619)",Not modeled,Not modeled,"2,323 (-123, 5,619)",Not modeled
60,Myanmar,oil,"290 (-19, 840)",Not modeled,Not modeled,"290 (-19, 840)",Not modeled
61,Nepal,wheat flour,"13,625 (1,437, 29,040)","1,845 (484, 4,863)","11,247 (159, 25,596)","511 (-23, 1,445)","23 (0, 85)"
62,Nepal,industry oil,"1,147 (-62, 2,835)",Not modeled,Not modeled,"1,147 (-62, 2,835)",Not modeled
63,Nepal,oil,"1,160 (-69, 2,853)",Not modeled,Not modeled,"1,160 (-69, 2,853)",Not modeled
64,Niger,wheat flour,"11,465 (1,177, 27,800)","2,442 (684, 5,662)","1,863 (168, 4,078)","6,991 (-731, 22,039)","169 (0, 655)"
65,Niger,maize flour,"201 (32, 462)","43 (12, 99)","43 (7, 92)","112 (-13, 342)","3 (0, 11)"
66,Niger,industry oil,"65,889 (-9,568, 182,936)",Not modeled,Not modeled,"65,889 (-9,568, 182,936)",Not modeled
67,Niger,oil,"10,998 (-917, 33,483)",Not modeled,Not modeled,"10,998 (-917, 33,483)",Not modeled
68,Nigeria,wheat flour,"394,742 (132,479, 639,590)","184,080 (87,407, 355,969)","165,697 (26,661, 304,939)","36,893 (-2,819, 97,539)","8,072 (139, 26,343)"
69,Nigeria,maize flour,"62,893 (24,562, 100,969)","27,809 (12,786, 53,280)","28,466 (6,679, 52,078)","5,431 (-445, 14,483)","1,187 (20, 3,897)"
70,Nigeria,industry oil,"41,784 (-3,387, 111,148)",Not modeled,Not modeled,"41,784 (-3,387, 111,148)",Not modeled
71,Nigeria,oil,"18,843 (-1,541, 48,889)",Not modeled,Not modeled,"18,843 (-1,541, 48,889)",Not modeled
72,"Nigeria, Ethiopia, and India combined",wheat flour,"473,554 (152,780, 757,493)","200,328 (99,226, 378,866)","209,561 (35,816, 383,436)","54,457 (-4,388, 135,546)","9,209 (288, 29,489)"
73,"Nigeria, Ethiopia, and India combined",maize flour,"126,313 (45,437, 209,822)","47,598 (23,580, 87,038)","58,436 (12,240, 110,416)","18,624 (-1,628, 47,595)","1,654 (20, 5,464)"
74,"Nigeria, Ethiopia, and India combined",industry oil,"137,329 (-7,517, 314,868)",Not modeled,Not modeled,"137,329 (-7,517, 314,868)",Not modeled
75,"Nigeria, Ethiopia, and India combined",oil,"115,397 (-5,986, 254,698)",Not modeled,Not modeled,"115,397 (-5,986, 254,698)",Not modeled
76,Pakistan,wheat flour,"183,059 (60,318, 337,061)","31,518 (13,990, 60,997)","138,333 (29,913, 279,502)","6,227 (-341, 16,502)","6,981 (1,535, 17,028)"
77,Pakistan,industry oil,"3,400 (-91, 8,918)",Not modeled,Not modeled,"3,400 (-91, 8,918)",Not modeled
78,Pakistan,oil,"8,421 (-352, 23,016)",Not modeled,Not modeled,"8,421 (-352, 23,016)",Not modeled
79,South Africa,wheat flour,"2,566 (499, 4,819)","308 (160, 496)","2,128 (258, 4,225)","122 (-7, 320)","8 (0, 29)"
80,South Africa,maize flour,"19,471 (4,722, 35,381)","2,946 (1,602, 4,739)","15,202 (2,283, 28,459)","1,239 (-49, 3,336)","84 (0, 287)"
81,South Africa,industry oil,"1,844 (-89, 4,962)",Not modeled,Not modeled,"1,844 (-89, 4,962)",Not modeled
82,South Africa,oil,"761 (-33, 1,939)",Not modeled,Not modeled,"761 (-33, 1,939)",Not modeled
83,Sudan,wheat flour,"48,216 (15,871, 88,782)","18,947 (5,150, 48,037)","24,228 (4,207, 47,962)","3,379 (-198, 9,747)","1,663 (351, 4,210)"
84,Sudan,maize flour,"22,375 (5,825, 43,155)","9,614 (2,415, 23,260)","10,211 (173, 22,945)","1,713 (-83, 4,520)","836 (173, 2,148)"
85,Sudan,industry oil,"4,055 (-257, 10,423)",Not modeled,Not modeled,"4,055 (-257, 10,423)",Not modeled
86,Sudan,oil,"0 (0, 0)",Not modeled,Not modeled,"0 (0, 0)",Not modeled
87,Uganda,wheat flour,"1,862 (484, 3,300)","587 (259, 1,103)","929 (93, 1,763)","325 (-21, 979)","21 (1, 68)"
88,Uganda,maize flour,"32,295 (9,059, 56,603)","9,974 (4,266, 19,308)","16,463 (2,675, 30,161)","5,498 (-404, 16,035)","360 (25, 1,173)"
89,Uganda,industry oil,"5,472 (-284, 16,755)",Not modeled,Not modeled,"5,472 (-284, 16,755)",Not modeled
90,Uganda,oil,"7,437 (-368, 21,992)",Not modeled,Not modeled,"7,437 (-368, 21,992)",Not modeled
91,United Republic of Tanzania,wheat flour,"26,912 (7,740, 46,708)","10,226 (4,482, 18,899)","13,714 (1,316, 26,077)","2,842 (-167, 7,950)","130 (7, 446)"
92,United Republic of Tanzania,maize flour,"50,984 (16,051, 87,931)","17,383 (7,855, 33,166)","28,797 (5,289, 53,894)","4,593 (-341, 12,613)","211 (11, 728)"
93,United Republic of Tanzania,industry oil,"2,652 (-123, 7,626)",Not modeled,Not modeled,"2,652 (-123, 7,626)",Not modeled
94,United Republic of Tanzania,oil,"7,478 (-399, 21,407)",Not modeled,Not modeled,"7,478 (-399, 21,407)",Not modeled
95,Viet Nam,wheat flour,"7,256 (889, 15,490)","1,062 (274, 2,838)","6,050 (142, 13,724)","135 (-7, 333)","9 (0, 33)"
96,Viet Nam,industry oil,"141 (-4, 395)",Not modeled,Not modeled,"141 (-4, 395)",Not modeled
97,Viet Nam,oil,"631 (-32, 1,447)",Not modeled,Not modeled,"631 (-32, 1,447)",Not modeled
