Location,Vehicle,All,Folic acid,Iron,Vitamin A,Zinc
India,oil,"0.65 (-0.03, 1.34)",Not modeled,Not modeled,"24.72 (-1.25, 42.36)",Not modeled
Indonesia,industry oil,"0.60 (-0.03, 1.41)",Not modeled,Not modeled,"16.47 (-0.70, 31.18)",Not modeled
Indonesia,oil,"0.69 (-0.03, 1.60)",Not modeled,Not modeled,"18.67 (-0.84, 33.56)",Not modeled
Kenya,wheat flour,"2.52 (0.37, 4.59)","2.92 (1.78, 3.98)","2.19 (0.03, 4.83)","3.19 (-0.22, 5.61)","4.30 (2.18, 6.06)"
Kenya,maize flour,"8.88 (1.34, 17.80)","10.56 (4.62, 17.32)","7.49 (0.07, 18.26)","11.46 (-0.63, 22.37)","15.54 (6.41, 25.22)"
Kenya,industry oil,"1.90 (-0.11, 4.59)",Not modeled,Not modeled,"9.35 (-0.60, 18.47)",Not modeled
Kenya,oil,"0.60 (-0.05, 1.40)",Not modeled,Not modeled,"2.90 (-0.23, 5.71)",Not modeled
Madagascar,wheat flour,"6.68 (1.16, 12.19)","7.03 (3.18, 11.65)","5.85 (0.05, 13.94)","7.81 (-0.52, 15.96)","10.19 (4.37, 17.17)"
Madagascar,maize flour,"0.62 (0.10, 1.19)","0.64 (0.26, 1.08)","0.56 (0.01, 1.35)","0.72 (-0.05, 1.46)","0.93 (0.35, 1.61)"
Madagascar,industry oil,"5.21 (-0.59, 11.62)",Not modeled,Not modeled,"18.86 (-1.00, 31.98)",Not modeled
Madagascar,oil,"0.87 (-0.10, 1.93)",Not modeled,Not modeled,"3.15 (-0.15, 5.29)",Not modeled
Mozambique,wheat flour,"1.41 (0.43, 2.38)","2.01 (1.16, 2.94)","0.85 (0.01, 2.04)","2.29 (-0.10, 4.13)","2.89 (1.58, 4.31)"
Mozambique,maize flour,"1.97 (0.49, 3.51)","2.29 (1.46, 3.22)","1.66 (0.02, 3.76)","2.61 (-0.16, 4.70)","3.31 (1.96, 4.88)"
Mozambique,industry oil,"1.83 (-0.07, 4.43)",Not modeled,Not modeled,"16.16 (-0.68, 30.42)",Not modeled
Mozambique,oil,"0.64 (-0.03, 1.47)",Not modeled,Not modeled,"5.74 (-0.26, 10.29)",Not modeled
Myanmar,wheat flour,"0.78 (0.10, 1.55)","0.76 (0.38, 1.05)","0.76 (0.01, 1.71)","1.45 (-0.07, 2.93)","1.46 (0.72, 2.10)"
Myanmar,industry oil,"0.66 (-0.04, 1.52)",Not modeled,Not modeled,"24.37 (-1.52, 40.79)",Not modeled
Myanmar,oil,"0.08 (-0.01, 0.24)",Not modeled,Not modeled,"3.06 (-0.18, 7.21)",Not modeled
Nepal,wheat flour,"8.34 (0.82, 19.12)","11.95 (4.26, 20.12)","7.84 (0.05, 19.25)","13.31 (-0.55, 27.57)","18.16 (7.03, 31.31)"
Nepal,industry oil,"0.70 (-0.05, 1.75)",Not modeled,Not modeled,"29.93 (-1.57, 50.04)",Not modeled
Nepal,oil,"0.70 (-0.05, 1.77)",Not modeled,Not modeled,"30.30 (-1.80, 48.53)",Not modeled
Niger,wheat flour,"1.60 (0.22, 3.21)","1.36 (0.48, 2.50)","1.10 (0.01, 2.82)","2.04 (-0.09, 4.56)","2.44 (0.93, 4.53)"
Niger,maize flour,"0.03 (0.00, 0.05)","0.02 (0.01, 0.04)","0.02 (0.00, 0.05)","0.03 (-0.00, 0.07)","0.04 (0.01, 0.07)"
Niger,industry oil,"8.93 (-1.74, 19.60)",Not modeled,Not modeled,"19.37 (-1.07, 32.94)",Not modeled
Niger,oil,"1.49 (-0.20, 3.86)",Not modeled,Not modeled,"3.23 (-0.11, 6.78)",Not modeled
Nigeria,wheat flour,"11.66 (3.75, 18.89)","12.78 (9.06, 16.92)","10.04 (0.12, 21.81)","15.87 (-0.88, 26.54)","20.86 (12.58, 27.56)"
Nigeria,maize flour,"1.76 (0.60, 2.87)","1.93 (1.33, 2.62)","1.52 (0.02, 3.36)","2.34 (-0.13, 3.99)","3.07 (1.89, 4.22)"
Nigeria,industry oil,"1.34 (-0.12, 3.76)",Not modeled,Not modeled,"17.98 (-0.95, 34.19)",Not modeled
Nigeria,oil,"0.60 (-0.06, 1.63)",Not modeled,Not modeled,"8.11 (-0.50, 13.28)",Not modeled
"Nigeria, Ethiopia, and India combined",wheat flour,"3.24 (0.87, 5.56)","8.10 (5.24, 10.78)","1.70 (0.02, 3.69)","8.15 (-0.66, 14.75)","11.15 (3.21, 17.17)"
"Nigeria, Ethiopia, and India combined",maize flour,"0.83 (0.21, 1.53)","1.95 (1.18, 2.88)","0.44 (0.00, 1.01)","2.80 (-0.22, 5.66)","1.93 (0.24, 3.29)"
"Nigeria, Ethiopia, and India combined",industry oil,"1.01 (-0.06, 2.27)",Not modeled,Not modeled,"21.95 (-1.15, 38.14)",Not modeled
"Nigeria, Ethiopia, and India combined",oil,"0.85 (-0.04, 1.82)",Not modeled,Not modeled,"18.71 (-1.33, 32.16)",Not modeled
Pakistan,wheat flour,"8.06 (1.66, 16.70)","11.66 (7.70, 16.23)","7.03 (0.05, 17.53)","13.56 (-1.08, 28.92)","16.92 (5.66, 29.52)"
Pakistan,industry oil,"0.19 (-0.01, 0.50)",Not modeled,Not modeled,"7.47 (-0.33, 15.54)",Not modeled
Pakistan,oil,"0.46 (-0.02, 1.17)",Not modeled,Not modeled,"18.49 (-0.96, 36.87)",Not modeled
South Africa,wheat flour,"1.36 (0.16, 2.80)","1.48 (0.86, 2.15)","1.33 (0.01, 3.05)","1.54 (-0.11, 2.90)","2.27 (1.19, 3.44)"
South Africa,maize flour,"10.30 (1.24, 20.43)","14.12 (8.49, 19.83)","9.43 (0.12, 20.42)","15.65 (-0.93, 31.03)","23.43 (12.05, 34.31)"
South Africa,industry oil,"1.09 (-0.06, 2.76)",Not modeled,Not modeled,"23.11 (-2.02, 39.67)",Not modeled
South Africa,oil,"0.45 (-0.02, 1.09)",Not modeled,Not modeled,"9.59 (-0.66, 17.01)",Not modeled
Sudan,wheat flour,"13.55 (3.84, 24.14)","13.31 (6.02, 22.53)","13.06 (0.13, 30.26)","17.18 (-1.09, 34.75)","22.53 (8.59, 38.12)"
Sudan,maize flour,"6.97 (1.92, 13.48)","6.78 (2.49, 12.10)","6.84 (0.07, 16.38)","8.79 (-0.54, 17.72)","11.37 (4.23, 19.76)"
Sudan,industry oil,"1.28 (-0.08, 3.18)",Not modeled,Not modeled,"20.78 (-1.74, 35.00)",Not modeled
Sudan,oil,"0.00 (0.00, 0.00)",Not modeled,Not modeled,"0.00 (0.00, 0.00)",Not modeled
Uganda,wheat flour,"0.65 (0.15, 1.12)","0.60 (0.42, 0.77)","0.65 (0.01, 1.41)","0.79 (-0.04, 1.31)","0.92 (0.56, 1.23)"
Uganda,maize flour,"10.84 (2.31, 19.00)","10.13 (6.72, 13.87)","10.73 (0.12, 24.37)","13.37 (-0.81, 22.95)","15.62 (9.23, 22.24)"
Uganda,industry oil,"1.94 (-0.11, 5.36)",Not modeled,Not modeled,"13.41 (-0.55, 26.35)",Not modeled
Uganda,oil,"2.63 (-0.15, 7.21)",Not modeled,Not modeled,"18.11 (-0.73, 34.14)",Not modeled
United Republic of Tanzania,wheat flour,"4.75 (1.18, 8.28)","5.39 (3.49, 7.33)","4.10 (0.05, 8.98)","7.48 (-0.36, 13.41)","8.93 (5.04, 12.75)"
United Republic of Tanzania,maize flour,"8.57 (2.13, 15.34)","9.17 (5.84, 12.62)","7.92 (0.09, 17.30)","12.11 (-0.71, 20.66)","14.50 (8.67, 19.67)"
United Republic of Tanzania,industry oil,"0.49 (-0.02, 1.35)",Not modeled,Not modeled,"7.03 (-0.31, 14.13)",Not modeled
United Republic of Tanzania,oil,"1.37 (-0.07, 3.82)",Not modeled,Not modeled,"19.72 (-0.82, 37.00)",Not modeled
Viet Nam,wheat flour,"4.95 (0.52, 11.12)","5.49 (2.31, 9.22)","4.86 (0.04, 11.76)","6.36 (-0.34, 13.06)","7.61 (2.94, 12.91)"
Viet Nam,industry oil,"0.10 (-0.00, 0.27)",Not modeled,Not modeled,"6.60 (-0.24, 14.41)",Not modeled
Viet Nam,oil,"0.43 (-0.02, 0.97)",Not modeled,Not modeled,"29.65 (-1.78, 50.89)",Not modeled
