parameter,measure_id,measure,metric_id,location_id,age_group_id,sex_id,location_name,sex,age,mean,lower,upper
Moderate anemia,5,prevalence,rate,168,1,3,Angola,Both,Under Five,0.267296138,0.217604733,0.318457177
Severe anemia,5,prevalence,rate,168,1,3,Angola,Both,Under Five,0.012952909,0.008636264,0.018244177
Total anemia,3,ylds,rate,168,1,3,Angola,Both,Under Five,0.016548859,0.010095273,0.025369646
Mild anemia,3,ylds,rate,168,1,3,Angola,Both,Under Five,0.000982487,0.000352393,0.002209182
Moderate anemia,3,ylds,rate,168,1,3,Angola,Both,Under Five,0.01367257,0.008347367,0.020645095
Severe anemia,3,ylds,rate,168,1,3,Angola,Both,Under Five,0.001893802,0.001066692,0.003119455
Total anemia,3,ylds,count,168,169,2,Angola,Female,Reproductive age,84417.42881,50978.73078,128082.0075
Mild anemia,3,ylds,count,168,169,2,Angola,Female,Reproductive age,5814.515466,2086.053229,13120.77313
Moderate anemia,3,ylds,count,168,169,2,Angola,Female,Reproductive age,69147.71611,41408.20182,105369.031
Severe anemia,3,ylds,count,168,169,2,Angola,Female,Reproductive age,9455.197232,5291.414132,15067.75627
Total anemia,5,prevalence,count,168,169,2,Angola,Female,Reproductive age,2988579.119,2528641.022,3479227.153
Mild anemia,5,prevalence,count,168,169,2,Angola,Female,Reproductive age,1573778.406,1384215.473,1764673.199
Moderate anemia,5,prevalence,count,168,169,2,Angola,Female,Reproductive age,1350484.861,1064228.03,1671637.545
Severe anemia,5,prevalence,count,168,169,2,Angola,Female,Reproductive age,64315.8526,42259.31326,93137.78743
Total anemia,3,ylds,rate,168,169,2,Angola,Female,Reproductive age,0.008853708,0.005370995,0.013423116
Mild anemia,3,ylds,rate,168,169,2,Angola,Female,Reproductive age,0.00060963,0.000220638,0.001375069
Moderate anemia,3,ylds,rate,168,169,2,Angola,Female,Reproductive age,0.007251997,0.004344124,0.011042774
Severe anemia,3,ylds,rate,168,169,2,Angola,Female,Reproductive age,0.000992081,0.000563983,0.001579115
Total anemia,5,prevalence,rate,168,169,2,Angola,Female,Reproductive age,0.313495832,0.265702194,0.364626306
Mild anemia,5,prevalence,rate,168,169,2,Angola,Female,Reproductive age,0.165079814,0.145282659,0.184939425
Moderate anemia,5,prevalence,rate,168,169,2,Angola,Female,Reproductive age,0.141667117,0.111653279,0.1751892
Severe anemia,5,prevalence,rate,168,169,2,Angola,Female,Reproductive age,0.0067489,0.004431185,0.009760928
Maternal disorder burden attributable to iron deficiency,2,dalys,count,168,169,2,Angola,female,Reproductive age,24669.99765,8475.763661,43488.29748
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,168,169,2,Angola,female,Reproductive age,0.002585439,0.000888268,0.004557615
Total iron responsive anemia,5,prevalence,rate,161,169,2,Bangladesh,Female,Reproductive age,0.255635897,0.213747852,0.29925554
Total iron responsive anemia,3,ylds,count,161,169,2,Bangladesh,Female,Reproductive age,384534.8906,242435.496,583432.2766
Total iron responsive anemia,3,ylds,rate,161,169,2,Bangladesh,Female,Reproductive age,0.00683894,0.004311707,0.010376323
Total iron responsive anemia,5,prevalence,count,161,169,2,Bangladesh,Female,Reproductive age,14373707.23,12018457.02,16826320.44
Total iron responsive anemia,3,ylds,rate,161,1,3,Bangladesh,Both,Under Five,0.010267145,0.005836856,0.01652845
Total iron responsive anemia,5,prevalence,rate,161,1,3,Bangladesh,Both,Under Five,0.42506581,0.341106953,0.516297841
Total iron responsive anemia,3,ylds,count,161,1,3,Bangladesh,Both,Under Five,141131.2683,80232.90776,227198.6148
Total iron responsive anemia,5,prevalence,count,161,1,3,Bangladesh,Both,Under Five,5842917.104,4688826.06,7096984.543
Mean hemoglobin concentration,n/a,g/L,g/L,161,1,3,Bangladesh,Both,Under five,110.3073728,107.45794,113.003536
Mean hemoglobin concentration,n/a,g/L,g/L,161,169,2,Bangladesh,Female,Reproductive age,124.1948771,122.3234842,126.1987418
Total anemia,5,prevalence,count,161,1,3,Bangladesh,Both,Under Five,6515178.776,5284863.504,7865340.13
Mild anemia,5,prevalence,count,161,1,3,Bangladesh,Both,Under Five,3780052.518,3217031.588,4370382.82
Moderate anemia,5,prevalence,count,161,1,3,Bangladesh,Both,Under Five,2659070.17,1975964.436,3509879.372
Severe anemia,5,prevalence,count,161,1,3,Bangladesh,Both,Under Five,76056.08732,46300.04114,122419.8618
Total anemia,3,ylds,count,161,1,3,Bangladesh,Both,Under Five,161444.1628,91183.58386,261486.3049
Mild anemia,3,ylds,count,161,1,3,Bangladesh,Both,Under Five,13952.12246,4913.109439,31558.90842
Moderate anemia,3,ylds,count,161,1,3,Bangladesh,Both,Under Five,136309.4574,78475.69983,219732.998
Severe anemia,3,ylds,count,161,1,3,Bangladesh,Both,Under Five,11182.58295,5654.765541,20692.21355
Total anemia,5,prevalence,rate,161,1,3,Bangladesh,Both,Under Five,0.473972109,0.384468023,0.572194867
Mild anemia,5,prevalence,rate,161,1,3,Bangladesh,Both,Under Five,0.274994674,0.234035519,0.317940556
Moderate anemia,5,prevalence,rate,161,1,3,Bangladesh,Both,Under Five,0.193444438,0.143749245,0.255339874
Severe anemia,5,prevalence,rate,161,1,3,Bangladesh,Both,Under Five,0.005532997,0.003368277,0.008905911
Total anemia,3,ylds,rate,161,1,3,Bangladesh,Both,Under Five,0.011744886,0.006633506,0.019022842
Mild anemia,3,ylds,rate,161,1,3,Bangladesh,Both,Under Five,0.001015002,0.000357423,0.002295876
Moderate anemia,3,ylds,rate,161,1,3,Bangladesh,Both,Under Five,0.009916364,0.005709021,0.015985335
Severe anemia,3,ylds,rate,161,1,3,Bangladesh,Both,Under Five,0.000813521,0.000411378,0.001505336
Total anemia,3,ylds,count,161,169,2,Bangladesh,Female,Reproductive age,464626.8455,283743.3623,724956.1241
Mild anemia,3,ylds,count,161,169,2,Bangladesh,Female,Reproductive age,37918.39492,13673.34927,83569.7751
Moderate anemia,3,ylds,count,161,169,2,Bangladesh,Female,Reproductive age,381122.4306,234582.7264,584043.1541
Severe anemia,3,ylds,count,161,169,2,Bangladesh,Female,Reproductive age,45586.01992,25986.38405,72084.32978
Total anemia,5,prevalence,count,161,169,2,Bangladesh,Female,Reproductive age,18050224.56,15381415.45,20669926.92
Mild anemia,5,prevalence,count,161,169,2,Bangladesh,Female,Reproductive age,10293121.72,9034420.635,11613499.58
Moderate anemia,5,prevalence,count,161,169,2,Bangladesh,Female,Reproductive age,7447026.928,5938448.72,9010855.787
Severe anemia,5,prevalence,count,161,169,2,Bangladesh,Female,Reproductive age,310075.9082,210126.9493,437252.7094
Total anemia,3,ylds,rate,161,169,2,Bangladesh,Female,Reproductive age,0.008269067,0.005055535,0.01289332
Mild anemia,3,ylds,rate,161,169,2,Bangladesh,Female,Reproductive age,0.000674702,0.000243971,0.001486286
Moderate anemia,3,ylds,rate,161,169,2,Bangladesh,Female,Reproductive age,0.006782935,0.004182816,0.010387188
Severe anemia,3,ylds,rate,161,169,2,Bangladesh,Female,Reproductive age,0.000811431,0.000466534,0.001282017
Total anemia,5,prevalence,rate,161,169,2,Bangladesh,Female,Reproductive age,0.321329122,0.274773018,0.367613951
Mild anemia,5,prevalence,rate,161,169,2,Bangladesh,Female,Reproductive age,0.183243829,0.160803964,0.206545697
Moderate anemia,5,prevalence,rate,161,169,2,Bangladesh,Female,Reproductive age,0.132565796,0.106198118,0.160257765
Severe anemia,5,prevalence,rate,161,169,2,Bangladesh,Female,Reproductive age,0.005519496,0.003739423,0.007776525
Maternal disorder burden attributable to iron deficiency,2,dalys,count,161,169,2,Bangladesh,female,Reproductive age,70613.2035,24043.51153,124820.3336
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,161,169,2,Bangladesh,female,Reproductive age,0.001255853,0.000427613,0.002219925
Total iron responsive anemia,5,prevalence,rate,201,169,2,Burkina Faso,Female,Reproductive age,0.230597236,0.172438535,0.299681742
Total iron responsive anemia,3,ylds,count,201,169,2,Burkina Faso,Female,Reproductive age,59063.35064,33803.89747,93490.47022
Total iron responsive anemia,3,ylds,rate,201,169,2,Burkina Faso,Female,Reproductive age,0.008235345,0.004713359,0.013035601
Total iron responsive anemia,5,prevalence,count,201,169,2,Burkina Faso,Female,Reproductive age,1653828.159,1236717.791,2149297.67
Total iron responsive anemia,3,ylds,rate,201,1,3,Burkina Faso,Both,Under Five,0.02974731,0.019728144,0.043543096
Total iron responsive anemia,5,prevalence,rate,201,1,3,Burkina Faso,Both,Under Five,0.670928883,0.606677929,0.751786815
Total iron responsive anemia,3,ylds,count,201,1,3,Burkina Faso,Both,Under Five,120326.6004,79799.50206,176129.9658
Total iron responsive anemia,5,prevalence,count,201,1,3,Burkina Faso,Both,Under Five,2713878.69,2453986.324,3040945.575
Mean hemoglobin concentration,n/a,g/L,g/L,201,1,3,Burkina Faso,Both,Under five,93.53666528,91.76821564,95.46809895
Mean hemoglobin concentration,n/a,g/L,g/L,201,169,2,Burkina Faso,Female,Reproductive age,118.7159524,116.8925041,120.6577726
Total anemia,5,prevalence,count,201,1,3,Burkina Faso,Both,Under Five,3461606.061,3300253.76,3596616.659
Mild anemia,5,prevalence,count,201,1,3,Burkina Faso,Both,Under Five,883433.8357,800613.8816,958829.1929
Moderate anemia,5,prevalence,count,201,1,3,Burkina Faso,Both,Under Five,2255446.439,2089374.392,2417961.343
Severe anemia,5,prevalence,count,201,1,3,Burkina Faso,Both,Under Five,322725.7867,252620.5209,402569.8963
Total anemia,3,ylds,count,201,1,3,Burkina Faso,Both,Under Five,164377.9097,110984.3152,237244.9845
Mild anemia,3,ylds,count,201,1,3,Burkina Faso,Both,Under Five,3245.001737,1169.907962,7275.668811
Moderate anemia,3,ylds,count,201,1,3,Burkina Faso,Both,Under Five,114544.2314,75590.74839,169510.404
Severe anemia,3,ylds,count,201,1,3,Burkina Faso,Both,Under Five,46588.67654,29868.56267,69451.79563
Total anemia,5,prevalence,rate,201,1,3,Burkina Faso,Both,Under Five,0.855783089,0.815893347,0.889160597
Mild anemia,5,prevalence,rate,201,1,3,Burkina Faso,Both,Under Five,0.218403748,0.197928883,0.237043093
Moderate anemia,5,prevalence,rate,201,1,3,Burkina Faso,Both,Under Five,0.557594621,0.516538058,0.597771783
Severe anemia,5,prevalence,rate,201,1,3,Burkina Faso,Both,Under Five,0.07978472,0.062453198,0.099523892
Total anemia,3,ylds,rate,201,1,3,Burkina Faso,Both,Under Five,0.040637737,0.027437698,0.058652037
Mild anemia,3,ylds,rate,201,1,3,Burkina Faso,Both,Under Five,0.000802234,0.000289226,0.001798701
Moderate anemia,3,ylds,rate,201,1,3,Burkina Faso,Both,Under Five,0.028317785,0.01868765,0.041906599
Severe anemia,3,ylds,rate,201,1,3,Burkina Faso,Both,Under Five,0.011517718,0.007384148,0.01716997
Total anemia,3,ylds,count,201,169,2,Burkina Faso,Female,Reproductive age,106708.8792,69252.14252,159879.6068
Mild anemia,3,ylds,count,201,169,2,Burkina Faso,Female,Reproductive age,4815.300087,1687.20653,10508.40448
Moderate anemia,3,ylds,count,201,169,2,Burkina Faso,Female,Reproductive age,85421.76974,54561.85284,129334.0046
Severe anemia,3,ylds,count,201,169,2,Burkina Faso,Female,Reproductive age,16471.80939,9745.627224,25585.23781
Total anemia,5,prevalence,count,201,169,2,Burkina Faso,Female,Reproductive age,3090318.343,2752405.128,3440131.803
Mild anemia,5,prevalence,count,201,169,2,Burkina Faso,Female,Reproductive age,1305815.903,1202605.834,1414754.261
Moderate anemia,5,prevalence,count,201,169,2,Burkina Faso,Female,Reproductive age,1672058.819,1414337.378,1933161.536
Severe anemia,5,prevalence,count,201,169,2,Burkina Faso,Female,Reproductive age,112443.6203,81098.15453,157573.1739
Total anemia,3,ylds,rate,201,169,2,Burkina Faso,Female,Reproductive age,0.014890196,0.009679679,0.022292398
Mild anemia,3,ylds,rate,201,169,2,Burkina Faso,Female,Reproductive age,0.00067174,0.000236864,0.001465212
Moderate anemia,3,ylds,rate,201,169,2,Burkina Faso,Female,Reproductive age,0.011919681,0.007661347,0.018033351
Severe anemia,3,ylds,rate,201,169,2,Burkina Faso,Female,Reproductive age,0.002298775,0.001365372,0.003567411
Total anemia,5,prevalence,rate,201,169,2,Burkina Faso,Female,Reproductive age,0.43132591,0.384182373,0.479665848
Mild anemia,5,prevalence,rate,201,169,2,Burkina Faso,Female,Reproductive age,0.182257731,0.167872629,0.197262588
Moderate anemia,5,prevalence,rate,201,169,2,Burkina Faso,Female,Reproductive age,0.233374687,0.197496901,0.269545361
Severe anemia,5,prevalence,rate,201,169,2,Burkina Faso,Female,Reproductive age,0.015693491,0.011313052,0.021970806
Maternal disorder burden attributable to iron deficiency,2,dalys,count,201,169,2,Burkina Faso,female,Reproductive age,30578.69494,10749.52369,54058.49199
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,201,169,2,Burkina Faso,female,Reproductive age,0.004263661,0.001498832,0.007537506
Total iron responsive anemia,5,prevalence,rate,205,169,2,Côte d'Ivoire,Female,Reproductive age,0.222286221,0.182874009,0.258975093
Total iron responsive anemia,3,ylds,count,205,169,2,Côte d'Ivoire,Female,Reproductive age,62923.10755,39889.89262,92607.78108
Total iron responsive anemia,3,ylds,rate,205,169,2,Côte d'Ivoire,Female,Reproductive age,0.007702395,0.004882907,0.011336085
Total iron responsive anemia,5,prevalence,count,205,169,2,Côte d'Ivoire,Female,Reproductive age,1815920.942,1493951.094,2115643.033
Total iron responsive anemia,3,ylds,rate,205,1,3,Côte d'Ivoire,Both,Under Five,0.018614276,0.011913437,0.028121659
Total iron responsive anemia,5,prevalence,rate,205,1,3,Côte d'Ivoire,Both,Under Five,0.576315648,0.514179282,0.62738996
Total iron responsive anemia,3,ylds,count,205,1,3,Côte d'Ivoire,Both,Under Five,74680.44881,47796.68964,112824.0561
Total iron responsive anemia,5,prevalence,count,205,1,3,Côte d'Ivoire,Both,Under Five,2312177.526,2062886.52,2517087.591
Mean hemoglobin concentration,n/a,g/L,g/L,205,1,3,Côte d'Ivoire,Both,Under five,100.4520968,98.39235942,102.482946
Mean hemoglobin concentration,n/a,g/L,g/L,205,169,2,Côte d'Ivoire,Female,Reproductive age,119.1994792,117.5977809,120.8046993
Total anemia,5,prevalence,count,205,1,3,Côte d'Ivoire,Both,Under Five,3000289.435,2767446.15,3233233.531
Mild anemia,5,prevalence,count,205,1,3,Côte d'Ivoire,Both,Under Five,1127396.082,1044268.93,1210778.185
Moderate anemia,5,prevalence,count,205,1,3,Côte d'Ivoire,Both,Under Five,1756761.759,1557559.222,1971722.319
Severe anemia,5,prevalence,count,205,1,3,Côte d'Ivoire,Both,Under Five,116131.5944,83580.28085,157678.3807
Total anemia,3,ylds,count,205,1,3,Côte d'Ivoire,Both,Under Five,110517.2051,73334.37475,164565.4435
Mild anemia,3,ylds,count,205,1,3,Côte d'Ivoire,Both,Under Five,4150.219423,1470.114583,9229.001907
Moderate anemia,3,ylds,count,205,1,3,Côte d'Ivoire,Both,Under Five,89473.4585,57977.45039,135064.8631
Severe anemia,3,ylds,count,205,1,3,Côte d'Ivoire,Both,Under Five,16893.52719,10117.57023,26110.14747
Total anemia,5,prevalence,rate,205,1,3,Côte d'Ivoire,Both,Under Five,0.747829148,0.689792415,0.805891008
Mild anemia,5,prevalence,rate,205,1,3,Côte d'Ivoire,Both,Under Five,0.281006106,0.260286469,0.30178929
Moderate anemia,5,prevalence,rate,205,1,3,Côte d'Ivoire,Both,Under Five,0.437876971,0.388225273,0.491456392
Severe anemia,5,prevalence,rate,205,1,3,Côte d'Ivoire,Both,Under Five,0.028946071,0.02083258,0.039301705
Total anemia,3,ylds,rate,205,1,3,Côte d'Ivoire,Both,Under Five,0.027546671,0.018278764,0.041018321
Mild anemia,3,ylds,rate,205,1,3,Côte d'Ivoire,Both,Under Five,0.001034452,0.000366429,0.00230035
Moderate anemia,3,ylds,rate,205,1,3,Côte d'Ivoire,Both,Under Five,0.022301468,0.014451015,0.033665233
Severe anemia,3,ylds,rate,205,1,3,Côte d'Ivoire,Both,Under Five,0.004210751,0.002521828,0.006508015
Total anemia,3,ylds,count,205,169,2,Côte d'Ivoire,Female,Reproductive age,116358.6936,74652.37988,171371.3785
Mild anemia,3,ylds,count,205,169,2,Côte d'Ivoire,Female,Reproductive age,5653.866449,1961.22115,12250.51541
Moderate anemia,3,ylds,count,205,169,2,Côte d'Ivoire,Female,Reproductive age,92869.16528,59140.50813,136517.8962
Severe anemia,3,ylds,count,205,169,2,Côte d'Ivoire,Female,Reproductive age,17835.66188,10690.7276,27143.26494
Total anemia,5,prevalence,count,205,169,2,Côte d'Ivoire,Female,Reproductive age,3473978.056,3143133.343,3792000.942
Mild anemia,5,prevalence,count,205,169,2,Côte d'Ivoire,Female,Reproductive age,1534438.097,1429225.455,1641333.481
Moderate anemia,5,prevalence,count,205,169,2,Côte d'Ivoire,Female,Reproductive age,1817866.486,1574659.684,2051701.525
Severe anemia,5,prevalence,count,205,169,2,Côte d'Ivoire,Female,Reproductive age,121673.4733,92254.24566,158640.9788
Total anemia,3,ylds,rate,205,169,2,Côte d'Ivoire,Female,Reproductive age,0.014255741,0.00918456,0.020977508
Mild anemia,3,ylds,rate,205,169,2,Côte d'Ivoire,Female,Reproductive age,0.000692432,0.000243997,0.001499581
Moderate anemia,3,ylds,rate,205,169,2,Côte d'Ivoire,Female,Reproductive age,0.011377668,0.00726179,0.016711106
Severe anemia,3,ylds,rate,205,169,2,Côte d'Ivoire,Female,Reproductive age,0.002185641,0.001308811,0.003322597
Total anemia,5,prevalence,rate,205,169,2,Côte d'Ivoire,Female,Reproductive age,0.425708165,0.38493456,0.464177454
Mild anemia,5,prevalence,rate,205,169,2,Côte d'Ivoire,Female,Reproductive age,0.188022779,0.17502439,0.200915033
Moderate anemia,5,prevalence,rate,205,169,2,Côte d'Ivoire,Female,Reproductive age,0.222773697,0.193049296,0.251148036
Severe anemia,5,prevalence,rate,205,169,2,Côte d'Ivoire,Female,Reproductive age,0.014911689,0.011359099,0.019419184
Maternal disorder burden attributable to iron deficiency,2,dalys,count,205,169,2,Côte d'Ivoire,female,Reproductive age,33637.19879,11785.25657,60904.02725
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,205,169,2,Côte d'Ivoire,female,Reproductive age,0.004117517,0.001442629,0.00745524
Total iron responsive anemia,5,prevalence,rate,202,169,2,Cameroon,Female,Reproductive age,0.17665195,0.144316788,0.21104645
Total iron responsive anemia,3,ylds,count,202,169,2,Cameroon,Female,Reproductive age,57005.26109,35734.40222,83139.1874
Total iron responsive anemia,3,ylds,rate,202,169,2,Cameroon,Female,Reproductive age,0.00596316,0.003738076,0.008696957
Total iron responsive anemia,5,prevalence,count,202,169,2,Cameroon,Female,Reproductive age,1688717.006,1379606.703,2017513.696
Total iron responsive anemia,3,ylds,rate,202,1,3,Cameroon,Both,Under Five,0.012480883,0.007798032,0.019055703
Total iron responsive anemia,5,prevalence,rate,202,1,3,Cameroon,Both,Under Five,0.432586896,0.369123336,0.500284431
Total iron responsive anemia,3,ylds,count,202,1,3,Cameroon,Both,Under Five,52508.43941,32807.17401,80169.42294
Total iron responsive anemia,5,prevalence,count,202,1,3,Cameroon,Both,Under Five,1819940.333,1552942.199,2104751.259
Mean hemoglobin concentration,n/a,g/L,g/L,202,1,3,Cameroon,Both,Under five,107.392252,105.1868858,109.6978678
Mean hemoglobin concentration,n/a,g/L,g/L,202,169,2,Cameroon,Female,Reproductive age,124.0990583,122.4211578,125.8669133
Total anemia,5,prevalence,count,202,1,3,Cameroon,Both,Under Five,2328648.778,2051380.92,2589599.321
Mild anemia,5,prevalence,count,202,1,3,Cameroon,Both,Under Five,1090534.778,988758.0255,1194392.761
Moderate anemia,5,prevalence,count,202,1,3,Cameroon,Both,Under Five,1172805.974,975613.6141,1371493.282
Severe anemia,5,prevalence,count,202,1,3,Cameroon,Both,Under Five,65308.02614,45617.99199,90158.04931
Total anemia,3,ylds,count,202,1,3,Cameroon,Both,Under Five,73496.39821,45906.96451,111200.566
Mild anemia,3,ylds,count,202,1,3,Cameroon,Both,Under Five,4010.04957,1435.084216,8979.38045
Moderate anemia,3,ylds,count,202,1,3,Cameroon,Both,Under Five,59942.63036,37471.04624,88740.69828
Severe anemia,3,ylds,count,202,1,3,Cameroon,Both,Under Five,9543.718273,5602.766811,14454.2952
Total anemia,5,prevalence,rate,202,1,3,Cameroon,Both,Under Five,0.553503282,0.487598681,0.615529374
Mild anemia,5,prevalence,rate,202,1,3,Cameroon,Both,Under Five,0.259212374,0.235020763,0.28389868
Moderate anemia,5,prevalence,rate,202,1,3,Cameroon,Both,Under Five,0.278767654,0.23189643,0.325994216
Severe anemia,5,prevalence,rate,202,1,3,Cameroon,Both,Under Five,0.015523254,0.010843073,0.021429928
Total anemia,3,ylds,rate,202,1,3,Cameroon,Both,Under Five,0.017469572,0.01091176,0.026431585
Mild anemia,3,ylds,rate,202,1,3,Cameroon,Both,Under Five,0.00095316,0.000341109,0.002134335
Moderate anemia,3,ylds,rate,202,1,3,Cameroon,Both,Under Five,0.014247938,0.008906602,0.021093034
Severe anemia,3,ylds,rate,202,1,3,Cameroon,Both,Under Five,0.002268474,0.001331738,0.003435683
Total anemia,3,ylds,count,202,169,2,Cameroon,Female,Reproductive age,90825.7051,56633.32019,135619.7865
Mild anemia,3,ylds,count,202,169,2,Cameroon,Female,Reproductive age,5503.419977,1954.110092,11982.39212
Moderate anemia,3,ylds,count,202,169,2,Cameroon,Female,Reproductive age,72940.62905,45717.15084,108576.2463
Severe anemia,3,ylds,count,202,169,2,Cameroon,Female,Reproductive age,12381.65608,7575.078,19084.56979
Total anemia,5,prevalence,count,202,169,2,Cameroon,Female,Reproductive age,3003953.325,2631315.342,3370276.332
Mild anemia,5,prevalence,count,202,169,2,Cameroon,Female,Reproductive age,1493200.517,1371599.295,1634225.649
Moderate anemia,5,prevalence,count,202,169,2,Cameroon,Female,Reproductive age,1426550.082,1176370.739,1679525.661
Severe anemia,5,prevalence,count,202,169,2,Cameroon,Female,Reproductive age,84202.7262,61620.63088,113741.6157
Total anemia,3,ylds,rate,202,169,2,Cameroon,Female,Reproductive age,0.009507146,0.005927365,0.014186806
Mild anemia,3,ylds,rate,202,169,2,Cameroon,Female,Reproductive age,0.000575973,0.00020668,0.001253444
Moderate anemia,3,ylds,rate,202,169,2,Cameroon,Female,Reproductive age,0.007634987,0.004802138,0.011357857
Severe anemia,3,ylds,rate,202,169,2,Cameroon,Female,Reproductive age,0.001296186,0.000797564,0.001996383
Total anemia,5,prevalence,rate,202,169,2,Cameroon,Female,Reproductive age,0.314525072,0.275276099,0.352555155
Mild anemia,5,prevalence,rate,202,169,2,Cameroon,Female,Reproductive age,0.156355401,0.143525532,0.170951762
Moderate anemia,5,prevalence,rate,202,169,2,Cameroon,Female,Reproductive age,0.14935447,0.123241195,0.175690469
Severe anemia,5,prevalence,rate,202,169,2,Cameroon,Female,Reproductive age,0.008815201,0.006449854,0.011898191
Maternal disorder burden attributable to iron deficiency,2,dalys,count,202,169,2,Cameroon,female,Reproductive age,35889.20453,12190.15699,66246.15716
Maternal disorder burden attributable to iron deficiency,2,dalys,rate,202,169,2,Cameroon,female,Reproductive age,0.003754269,0.001275178,0.006929825
Total iron responsive anemia,3,ylds,rate,6,169,2,China,Female,Reproductive age,0.001997833,0.001313038,0.00283952
Total iron responsive anemia,5,prevalence,count,6,169,2,China,Female,Reproductive age,32530283.06,27530890.6,37492000.2
Total iron responsive anemia,5,prevalence,rate,6,169,2,China,Female,Reproductive age,0.072987961,0.061770861,0.08412053
Total iron responsive anemia,3,ylds,count,6,169,2,China,Female,Reproductive age,890421.7016,585212.981,1265556.578
Total iron responsive anemia,5,prevalence,count,6,1,3,China,Both,Under Five,6087555.37,4835927.959,7471381.584
Total iron responsive anemia,3,ylds,rate,6,1,3,China,Both,Under Five,0.001546049,0.000868757,0.002448056
Total iron responsive anemia,5,prevalence,rate,6,1,3,China,Both,Under Five,0.074702309,0.059343195,0.091683677
Total iron responsive anemia,3,ylds,count,6,1,3,China,Both,Under Five,125988.8282,70795.75217,199494.187
Mean hemoglobin concentration,n/a,g/L,g/L,6,1,3,China,Both,Under five,128.5930217,127.7400487,129.4092931
Mean hemoglobin concentration,n/a,g/L,g/L,6,169,2,China,Female,Reproductive age,136.3348858,135.929697,136.7475423
Total anemia,5,prevalence,count,6,1,3,China,Both,Under Five,7720005.531,6242167.61,9317921.404
Mild anemia,5,prevalence,count,6,1,3,China,Both,Under Five,5269996.036,4450696.972,6098180.225
Moderate anemia,5,prevalence,count,6,1,3,China,Both,Under Five,2325568.332,1719284.518,3041679.357
Severe anemia,5,prevalence,count,6,1,3,China,Both,Under Five,124441.1623,73565.86232,197600.9313
Total anemia,3,ylds,count,6,1,3,China,Both,Under Five,157419.8134,88249.5988,254267.8904
Mild anemia,3,ylds,count,6,1,3,China,Both,Under Five,19476.23237,7088.365349,42185.15112
Moderate anemia,3,ylds,count,6,1,3,China,Both,Under Five,119552.5225,68615.10159,189557.1786
Severe anemia,3,ylds,count,6,1,3,China,Both,Under Five,18391.05856,9326.803005,32123.48508
Total anemia,5,prevalence,rate,6,1,3,China,Both,Under Five,0.094734619,0.076599605,0.114343148
Mild anemia,5,prevalence,rate,6,1,3,China,Both,Under Five,0.064669781,0.054615904,0.07483269
Moderate anemia,5,prevalence,rate,6,1,3,China,Both,Under Five,0.028537781,0.021097882,0.037325405
Severe anemia,5,prevalence,rate,6,1,3,China,Both,Under Five,0.001527057,0.00090275,0.002424823
