location_id,location_name,population,Mean hemoglobin (g/L),Prevalence of anemia (per 100),Prevalence of iron deficiency anemia (per 100),Number with iron deficiency anemia (1000s),DALYs attributable to iron deficiency (1000s),"DALYs attributable to iron deficiency per person-year (x 100,000)"
184,Mozambique,Children U5,"103
(101, 104)","67.7
(62.4, 72.7)","56.8
(51.3, 61.8)","3,455
(3,184, 3,710)","100
(64, 147)","1,956
(1,253, 2,871)"
184,Mozambique,WRA,"122
(120, 123)","36.0
(32.2, 39.7)","19.2
(16.3, 21.9)","3,401
(3,046, 3,753)","96
(62, 136)","1,017
(659, 1,441)"
15,Myanmar,Children U5,"105
(103, 108)","63.0
(55.9, 70.3)","57.6
(50.6, 64.6)","3,162
(2,804, 3,528)","84
(53, 130)","1,682
(1,058, 2,596)"
15,Myanmar,WRA,"122
(121, 124)","36.5
(33.6, 39.8)","29.5
(26.7, 32.6)","6,921
(6,389, 7,547)","203
(137, 281)","1,066
(721, 1,478)"
164,Nepal,Children U5,"108
(106, 111)","53.7
(45.0, 63.0)","50.9
(42.6, 60.0)","1,609
(1,347, 1,887)","39
(24, 61)","1,305
(798, 2,022)"
164,Nepal,WRA,"123
(121, 125)","35.1
(31.0, 39.4)","31.9
(28.0, 36.2)","3,862
(3,403, 4,348)","124
(82, 174)","1,122
(744, 1,579)"
213,Niger,Children U5,"101
(99, 104)","71.2
(64.4, 77.8)","57.5
(50.4, 64.0)","3,456
(3,126, 3,778)","93
(59, 138)","1,915
(1,208, 2,854)"
213,Niger,WRA,"119
(117, 121)","41.4
(36.4, 46.3)","23.9
(19.3, 28.1)","2,788
(2,451, 3,121)","107
(67, 156)","1,594
(987, 2,317)"
214,Nigeria,Children U5,"100
(99, 102)","72.3
(68.4, 76.5)","58.0
(54.0, 61.9)","24,242
(22,925, 25,641)","709
(455, 1,028)","2,114
(1,356, 3,067)"
214,Nigeria,WRA,"119
(117, 120)","43.0
(39.1, 46.9)","26.9
(23.6, 30.4)","30,794
(28,014, 33,637)","935
(612, 1,310)","1,304
(854, 1,828)"
165,Pakistan,Children U5,"111
(107, 114)","50.6
(41.9, 59.2)","45.2
(37.2, 53.1)","15,446
(12,801, 18,071)","448
(267, 700)","1,469
(875, 2,294)"
165,Pakistan,WRA,"119
(118, 121)","43.1
(39.3, 47.1)","36.2
(32.5, 40.1)","31,027
(28,279, 33,935)","1,218
(814, 1,688)","1,691
(1,130, 2,344)"
196,South Africa,Children U5,"123
(121, 126)","16.3
(12.1, 20.7)","15.5
(11.5, 19.7)","833
(618, 1,053)","16
(9, 27)","321
(174, 539)"
196,South Africa,WRA,"129
(127, 130)","27.3
(25.1, 29.7)","18.2
(16.4, 20.2)","5,158
(4,733, 5,615)","143
(100, 197)","759
(528, 1,041)"
522,Sudan,Children U5,"109
(107, 111)","50.3
(44.4, 56.4)","42.3
(36.6, 48.1)","2,773
(2,450, 3,107)","69
(43, 104)","1,257
(778, 1,891)"
522,Sudan,WRA,"125
(123, 127)","30.1
(25.7, 34.8)","18.6
(15.2, 22.4)","4,081
(3,470, 4,724)","109
(71, 154)","802
(526, 1,136)"
190,Uganda,Children U5,"109
(107, 111)","50.5
(44.2, 56.6)","37.3
(31.2, 43.0)","3,579
(3,134, 4,010)","77
(48, 116)","1,088
(676, 1,640)"
190,Uganda,WRA,"126
(124, 129)","26.3
(22.6, 30.4)","12.3
(9.7, 15.1)","3,434
(2,940, 3,970)","83
(52, 123)","638
(396, 938)"
189,United Republic of Tanzania,Children U5,"107
(104, 109)","58.3
(51.5, 65.1)","51.5
(45.1, 58.0)","5,424
(4,795, 6,058)","143
(89, 207)","1,540
(954, 2,223)"
189,United Republic of Tanzania,WRA,"121
(119, 123)","38.2
(33.4, 42.8)","24.2
(20.5, 27.9)","7,048
(6,168, 7,891)","235
(151, 325)","1,274
(819, 1,762)"
20,Viet Nam,Children U5,"120
(117, 123)","21.8
(15.9, 29.1)","19.0
(13.7, 25.8)","1,509
(1,103, 2,018)","29
(16, 51)","421
(227, 734)"
20,Viet Nam,WRA,"132
(131, 134)","14.1
(11.3, 17.4)","10.6
(8.2, 13.4)","4,610
(3,663, 5,665)","100
(66, 147)","306
(202, 451)"
1,Global,Children U5,"114
(113, 114)","39.6
(38.8, 40.2)","34.1
(33.3, 34.9)","262,205
(257,082, 266,729)","6,831
(4,567, 9,888)","1,030
(689, 1,492)"
1,Global,WRA,"128
(128, 128)","25.7
(25.3, 26.1)","19.5
(19.1, 20.0)","635,017
(625,055, 645,869)","18,791
(13,050, 25,734)","759
(527, 1,040)"
