,location_name,vehicle,nutrient,value_description,n_data_points,mean_mean,value_means
831,Myanmar,wheat flour,na,percent of population eating industrially produced vehicle,1,50.0,[50.0]
844,Nepal,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
861,Nepal,wheat flour,na,percent of population eating industrially produced vehicle,2,40.0,"[37.0, 43.0]"
878,Niger,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan]
897,Niger,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan]
910,Niger,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
927,Niger,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
944,Nigeria,bouillon,na,percent of population eating industrially produced vehicle,2,61.5,"[83.0, 40.0]"
963,Nigeria,maize flour,na,percent of population eating industrially produced vehicle,2,6.95,"[2.9, 11.0]"
976,Nigeria,oil,na,percent of population eating industrially produced vehicle,2,29.3,"[22.7, 35.9]"
991,Nigeria,rice,na,percent of population eating industrially produced vehicle,2,99.5,"[100.0, 99.0]"
1003,Nigeria,salt,na,percent of population eating industrially produced vehicle,1,93.0,[93.0]
1020,Nigeria,wheat flour,na,percent of population eating industrially produced vehicle,2,48.8,"[13.8, 83.8]"
1033,Pakistan,oil,na,percent of population eating industrially produced vehicle,3,99.0,"[99.0, 99.0, 99.0]"
1050,Pakistan,wheat flour,na,percent of population eating industrially produced vehicle,3,48.66666666666666,"[52.0, 31.0, 63.0]"
1071,South Africa,maize flour,na,percent of population eating industrially produced vehicle,2,97.05,"[98.7, 95.4]"
1084,South Africa,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
1101,South Africa,wheat flour,na,percent of population eating industrially produced vehicle,2,14.75,"[25.2, 4.3]"
1122,Sudan,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan]
1135,Sudan,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
1152,Sudan,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
1173,Uganda,maize flour,na,percent of population eating industrially produced vehicle,3,30.43333333333333,"[42.4, 42.4, 6.5]"
1186,Uganda,oil,na,percent of population eating industrially produced vehicle,3,77.33333333333333,"[89.0, 89.0, 54.0]"
1203,Uganda,wheat flour,na,percent of population eating industrially produced vehicle,3,9.9,"[10.6, 10.6, 8.5]"
1224,United Republic of Tanzania,maize flour,na,percent of population eating industrially produced vehicle,3,25.23333333333333,"[36.6, 36.6, 2.5]"
1237,United Republic of Tanzania,oil,na,percent of population eating industrially produced vehicle,3,79.73333333333333,"[92.6, 92.6, 54.0]"
1254,United Republic of Tanzania,wheat flour,na,percent of population eating industrially produced vehicle,3,44.66666666666666,"[50.5, 50.5, 33.0]"
1267,Vietnam,oil,na,percent of population eating industrially produced vehicle,1,90.0,[90.0]
1284,Vietnam,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
