location_name,vehicle,nutrient,value_description,n_data_points,mean_mean,value_means,is_assumption
Côte d'Ivoire,oil,vitamin a,percent of population eating fortified vehicle,3,81.0,"[70.0, 75.0, 98.0]",0.0
Côte d'Ivoire,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,oil,na,percent of population eating industrially produced vehicle,1,98.0,[98.0],0.0
Côte d'Ivoire,oil,na,percent of population eating vehicle,1,98.5,[98.5],0.0
Côte d'Ivoire,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,wheat flour,na,percent of population eating industrially produced vehicle,1,10.2,[10.2],0.0
Côte d'Ivoire,wheat flour,na,percent of population eating vehicle,1,54.7,[54.7],0.0
Democratic Republic of the Congo,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,bouillon,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Democratic Republic of the Congo,bouillon,na,percent of population eating vehicle,0,,[nan],0.0
Democratic Republic of the Congo,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,maize flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Democratic Republic of the Congo,maize flour,na,percent of population eating vehicle,8,45.255,"[20.7, 27.2, 42.7, 30.0, 64.0, 31.0, 53.0, 93.44]",0.0
Democratic Republic of the Congo,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,oil,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Democratic Republic of the Congo,oil,na,percent of population eating vehicle,5,95.88199999999999,"[97.3, 95.6, 98.1, 88.41, 100.0]",0.0
Democratic Republic of the Congo,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Democratic Republic of the Congo,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Democratic Republic of the Congo,wheat flour,na,percent of population eating vehicle,1,0.58,[0.58],0.0
Egypt,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,maize flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Egypt,maize flour,na,percent of population eating vehicle,0,,[nan],0.0
Egypt,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,oil,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Egypt,oil,na,percent of population eating vehicle,0,,[nan],0.0
Egypt,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Egypt,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Egypt,wheat flour,na,percent of population eating vehicle,0,,[nan],0.0
Ethiopia,maize flour,folic acid,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
Ethiopia,maize flour,iron,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
Ethiopia,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Ethiopia,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Ethiopia,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Ethiopia,maize flour,zinc,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
Ethiopia,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Ethiopia,maize flour,na,percent of population eating vehicle,0,,[nan],0.0
Ethiopia,oil,vitamin a,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
Ethiopia,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Ethiopia,oil,na,percent of population eating industrially produced vehicle,5,57.2,"[19.0, 92.0, 70.0, 50.0, 55.0]",0.0
Ethiopia,oil,na,percent of population eating vehicle,2,29.35,"[55.0, 3.7]",0.0
Ethiopia,salt,folic acid,percent of population eating fortified vehicle,1,0.0,[0.0],0.0
Ethiopia,salt,iron,percent of population eating fortified vehicle,1,85.6,[85.6],0.0
Ethiopia,salt,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Ethiopia,salt,na,percent of population eating vehicle,0,,[nan],0.0
Ethiopia,wheat flour,folic acid,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
Ethiopia,wheat flour,iron,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
Ethiopia,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Ethiopia,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Ethiopia,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Ethiopia,wheat flour,zinc,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
Ethiopia,wheat flour,na,percent of population eating industrially produced vehicle,5,36.4,"[28.0, 18.0, 89.0, 27.0, 20.0]",0.0
Ethiopia,wheat flour,na,percent of population eating vehicle,1,28.0,[28.0],0.0
Ghana,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,bouillon,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Ghana,bouillon,na,percent of population eating vehicle,0,,[nan],0.0
Ghana,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,maize flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Ghana,maize flour,na,percent of population eating vehicle,0,,[nan],0.0
Ghana,oil,vitamin a,percent of population eating fortified vehicle,3,29.066666666666663,"[34.9, 19.4, 32.9]",0.0
Ghana,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,oil,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Ghana,oil,na,percent of population eating vehicle,4,96.275,"[98.0, 94.7, 96.8, 95.6]",0.0
Ghana,rice,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,rice,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,rice,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,rice,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,rice,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,rice,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Ghana,rice,na,percent of population eating vehicle,0,,[nan],0.0
Ghana,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Ghana,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Ghana,wheat flour,na,percent of population eating vehicle,0,,[nan],0.0
India,oil,vitamin a,percent of population eating fortified vehicle,2,24.3,"[24.3, 24.3]",0.0
India,oil,vitamin d,percent of population eating fortified vehicle,2,24.3,"[24.3, 24.3]",0.0
India,oil,na,percent of population eating industrially produced vehicle,2,89.4,"[89.4, 89.4]",0.0
India,oil,na,percent of population eating vehicle,2,100.0,"[100.0, 100.0]",0.0
India,rice,folic acid,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
India,rice,iron,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
India,rice,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
India,rice,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
India,rice,zinc,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
India,rice,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
India,rice,na,percent of population eating vehicle,1,50.0,[50.0],0.0
India,salt,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
India,salt,iron,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
India,salt,na,percent of population eating industrially produced vehicle,4,98.25,"[100.0, 93.0, 100.0, 100.0]",0.0
India,salt,na,percent of population eating vehicle,4,99.875,"[100.0, 99.5, 100.0, 100.0]",0.0
India,wheat flour,folic acid,percent of population eating fortified vehicle,4,3.1999999999999997,"[6.3, 0.1, 6.3, 0.1]",0.0
India,wheat flour,iron,percent of population eating fortified vehicle,4,3.1999999999999997,"[6.3, 0.1, 6.3, 0.1]",0.0
India,wheat flour,vitamin a,percent of population eating fortified vehicle,1,0.0,[0.0],1.0
India,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
India,wheat flour,vitamin b12,percent of population eating fortified vehicle,4,3.1999999999999997,"[6.3, 0.1, 6.3, 0.1]",0.0
India,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
India,wheat flour,na,percent of population eating industrially produced vehicle,2,7.1,"[7.1, 7.1]",0.0
India,wheat flour,na,percent of population eating vehicle,2,83.2,"[83.2, 83.2]",0.0
Indonesia,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Indonesia,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Indonesia,oil,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Indonesia,oil,na,percent of population eating vehicle,0,,[nan],0.0
Indonesia,wheat flour,folic acid,percent of population eating fortified vehicle,1,73.1,[73.1],0.0
Indonesia,wheat flour,iron,percent of population eating fortified vehicle,1,73.1,[73.1],0.0
Indonesia,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Indonesia,wheat flour,vitamin b1,percent of population eating fortified vehicle,1,73.1,[73.1],0.0
Indonesia,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Indonesia,wheat flour,zinc,percent of population eating fortified vehicle,1,73.1,[73.1],0.0
Indonesia,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Indonesia,wheat flour,na,percent of population eating vehicle,0,,[nan],0.0
Kenya,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,maize flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,maize flour,na,percent of population eating industrially produced vehicle,1,36.67,[36.67],0.0
Kenya,maize flour,na,percent of population eating vehicle,12,53.10583333333333,"[85.27, 57.0, 63.0, 81.0, 16.0, 38.0, 17.0, 89.0, 91.0, 95.0, 2.0, 3.0]",0.0
Kenya,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,oil,na,percent of population eating industrially produced vehicle,1,9.39,[9.39],0.0
Kenya,oil,na,percent of population eating vehicle,13,29.705384615384617,"[16.17, 6.0, 16.0, 7.0, 12.0, 38.0, 45.0, 60.0, 70.0, 72.0, 9.0, 18.0, 17.0]",0.0
Kenya,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Kenya,wheat flour,na,percent of population eating industrially produced vehicle,1,30.95,[30.95],0.0
Kenya,wheat flour,na,percent of population eating vehicle,1,36.58,[36.58],0.0
Madagascar,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,maize flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Madagascar,maize flour,na,percent of population eating vehicle,0,,[nan],0.0
Madagascar,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,oil,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Madagascar,oil,na,percent of population eating vehicle,0,,[nan],0.0
Madagascar,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Madagascar,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Madagascar,wheat flour,na,percent of population eating vehicle,0,,[nan],0.0
Mozambique,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,maize flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Mozambique,maize flour,na,percent of population eating vehicle,2,79.9,"[79.9, 79.9]",0.0
Mozambique,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,oil,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Mozambique,oil,na,percent of population eating vehicle,2,96.6,"[95.2, 98.0]",0.0
Mozambique,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Mozambique,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
