data_choice_notes,location_id,location_name,lower,mass_unit,mean_value_source_citation,mean_value_source_link,metric,pop_denom,sub_population,time_unit,upper,value_mean,vehicle
"Chose 2017 GFDx estimate (30 g/day) over number from 2000-2009 paper (24 g/day) that estimated wheat (not specifically wheat flour), and a 1997-2000 report that estimated (7 g/day) from FAO balance sheets.",190,Uganda,20.189790148615554,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=UGA&lang=en,mean,capita,total population,day,40.350209851384456,30.27,wheat flour
Chose 2017 GFDx estimte (283 g/day) over a 2007 paper that estimated (288 g/day) from FAO balance sheets and a 1997-2000 paper that estimated (204 g/day) from FAO balance sheets.,196,South Africa,169.09171298125486,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=ZAF&lang=en,mean,capita,total population,day,397.4882870187452,283.29,maize flour
"Chose 2017 GFDx estimate (156 g/day) over number from 2000-2009 paper (163 g/day) that estimated wheat (not specifically wheat flour), and a 1997-2000 report that estimated (123 g/day) from FAO balance sheets.",196,South Africa,104.2905711145533,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=ZAF&lang=en,mean,capita,total population,day,208.42942888544673,156.36,wheat flour
"Discarded 2007 total pop Nuss estimate from FAO balanc esheets (152 g/day) and Ranum 2007-2009 estimate from FAO (107 g/day) in lieu of GFDx estimate from FAO balance sheets from 2017, given that GFDx 2007 estimate was 157 g/day",201,Burkina Faso,124.53859603616921,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=BFA&lang=en,mean,capita,total population,day,297.4414039638308,210.99,maize flour
"Discarded 1999 Hess and Engle-Stone survey number (15-40 g/day) and a 2002 Sablah total population survey number (14.5 g/day) for a 2017 total-pop FAO balance sheet number (37 g/day), as GFDx estimates 11 g/day for 2002 and 20 g/day for 1999",201,Burkina Faso,24.46802150395999,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=BFA&lang=en,mean,capita,total population,day,50.81197849604001,37.64,wheat flour
"Discarded 2007 Nuss paper that estimated 221.7 g/day from FAO balance sheets, and kept GFDx 2017 estimate of 216.68 g/day, also estimated from FAO balance sheets ",180,Kenya,127.89716569087228,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=KEN&lang=en,mean,capita,total population,day,305.46283430912774,216.68,maize flour
"Between forfication handbook from 1997-2000 number (46 g/day) and GFDx number from 2017 (100.11 g/day), used GFDx number, noting that GFDx has 57 g/day for 1997.",180,Kenya,65.07687653457583,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=KEN&lang=en,mean,capita,total population,day,135.14312346542417,100.11,wheat flour
Only one source.,15,Myanmar,7.309499886490558,g,FAO food balance sheet,,mean,capita,women of reproductive age,day,17.457623401180673,12.383561643835616,maize flour
Discarded fortification handbok number (7 g/day) from 1997-2000 estimated from FAO balance sheets in lieu of 2017 GFDx number from FAO balance sheets,15,Myanmar,19.44960689156437,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=MMR&lang=en,mean,capita,total population,day,40.39039310843563,29.92,wheat flour
Discarded GFDx FAO-balance sheet estimate from 2017 (145 g/day) in lieu of 2016 Nepal Micronutrient status survey finding (5.7 g/day),164,Nepal,3.705306125732517,g,"Centers for Disease Control and Prevention (CDC), Department of Health Services, Ministry of Health and Population (Nepal), New ERA, United Nations Children's Fund (UNICEF), United States Agency for International Development (USAID). Nepal Micronutrient Status Survey 2016.",http://internal-ghdx.healthdata.org/record/nepal-micronutrient-status-survey-2016,mean,consumers,total population,day,7.694693874267482,5.7,wheat flour
Discarded 2010 Laillou survey number for WRA (1-34 g/day) and 1997-2000 fortification handbook survey number (14 g/day) in lieu of GFDx 2017 number (30.36 g/day),20,Viet Nam,19.735630522322673,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=VNM&lang=en,mean,capita,total population,day,40.984369477677326,30.36,wheat flour
"Kept 2017 GFDx number (139 g/day), discarded 2007 Nuss FAO balance estimate (122 g/day) and 1997-2000 FAO balance estimate (96 g/day)",202,Cameroon,82.24658975155134,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=CMR&lang=en,mean,capita,total population,day,196.43341024844867,139.34,maize flour
"Took most recent survey data (Hess, 2011) among WRA (79 g/day/consumer). Discarded GFDx FAO-based estimates (64 g/day/capita) and 2009 Engle-Stone survey estimate (77-104 g/day)",202,Cameroon,51.35424279524015,g,"Hess SY, Brown KH, Sablah M, Engle-Stone R, Aaron GJ, Baker SK. Results of Fortification Rapid Assessment Tool (FRAT) surveys in sub-Saharan Africa and suggestions for future modifications of the survey instrument. Food Nutr Bull. 2013 Mar;34(1):21-38. doi: 10.1177/156482651303400104. PMID: 23767278.",https://journals.sagepub.com/doi/pdf/10.1177/156482651303400104,,consumers,women of reproductive age,day,106.64575720475986,79.0,wheat flour
Discarded 2007 Nuss FAO balance sheet estimate (44 g/day) for 2017 GFDx FAO balance sheet estimate (56 g/day),205,Côte d'Ivoire,25.91233881220829,g,"Nuss, E. T., & Tanumihardjo, S. A. (2011). Quality protein maize for Africa: closing the protein inadequacy gap in vulnerable populations. Advances in Nutrition, 2(3), 217-224.",https://doi.org/10.3945/an.110.000182,mean,capita,total population,day,61.88766118779171,43.9,maize flour
"Kept 2017 GFDx number (70 g/day), discarded Sablah 2002 survey number (33.7 g/day, noting that GFDx estimated 48 g/day for 2002), and discarded and 1997-2000 Forfitifation handbook FAO balance sheet number (33 g/day)",205,Côte d'Ivoire,45.5557637353219,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=CIV&lang=en,mean,capita,total population,day,94.60423626467812,70.08,wheat flour
"Discarded 1997-2000 fortification handbook number (43 g/day) estimated from FAO balance sheets in lieu of 2007 Nuss number (60.8 g/day), also from FAO balance sheets",171,Democratic Republic of the Congo,35.88770386747755,g,"Nuss, E. T., & Tanumihardjo, S. A. (2011). Quality protein maize for Africa: closing the protein inadequacy gap in vulnerable populations. Advances in Nutrition, 2(3), 217-224.",https://doi.org/10.3945/an.110.000182,mean,capita,total population,day,85.71229613252245,60.8,maize flour
"Kept 2000 GFDx number (34 g/day), discarded 1997-2000 fortification handbook number (14 g/day), both from FAO",171,Democratic Republic of the Congo,22.101826013141327,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=COD&lang=en,mean,capita,total population,day,45.89817398685867,34.0,wheat flour
discarded 1997-2000 fortification handbook number (35 g/day) for 2017 GFDx number (73 g/day). Both came from FAO balance sheets.,11,Indonesia,47.8374522443256,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=IDN&lang=en,mean,capita,total population,day,99.3425477556744,73.59,wheat flour
"Discarded 1997-2000 fortification handbook number (108 g/day), along with 2007 Nuss number (140 g/day), in lieu of 2017 GFDx number (180 g/day). All came from FAO balance sheets.",184,Mozambique,106.60064668530336,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=MOZ&lang=en,mean,capita,total population,day,254.59935331469657,180.6,maize flour
"Discarded 1997-2000 fortification handbook number (28 g/day) for 2017 GFDx number (66 g/day), both from FAO balance sheets",184,Mozambique,42.851540317243426,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=MOZ&lang=en,mean,capita,total population,day,88.98845968275657,65.92,wheat flour
Discarded 1997-2000 fortification handbook number (72 g/day) and 2007 Nuss number (103 g/day) in lieu of 2017 GFDx number (154 g/day). All numbers from FAO balance sheets.,168,Angola,91.48413194770306,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=AGO&lang=en,mean,capita,total population,day,218.49586805229697,154.99,maize flour
Discarded 1997-2000 fortification handbook (49 g/day) in lieu of 2017 gfdx number (89 g/day). Noting gfdx had 63-71 g/day 1997-2000. All estimates from FAO,168,Angola,58.062797043934815,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=AGO&lang=en,mean,capita,total population,day,120.5772029560652,89.32,wheat flour
Discarded earlier FAO estimates for 2017 GFDx FAO estimate,6,China,111.75723318174286,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=CHN&lang=en,mean,capita,total population,day,232.0827668182571,171.92,wheat flour
Discarded 1997-2000 fortification handbook number (114 g/day) in lieu of 2017 GFDx estimate (167 g/day). Both are FAO estimates.,141,Egypt,98.6970882184362,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=EGY&lang=en,mean,capita,total population,day,235.72291178156382,167.21,maize flour
Discarded 1997-2000 fortification handbook number (281 g/day) in lieu of 2017 GFDx estimate (399 g/day). Both are FAO estimates.,141,Egypt,259.520941153718,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=EGY&lang=en,mean,capita,total population,day,538.939058846282,399.23,wheat flour
Discarded 1997-2000 number (81 g/day) and 2007 Nuss number (99 g/day) in lieu of 2017 GFDx number (69 g/day). All FAO balance sheet estimates.,207,Ghana,40.8635812293663,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=GHA&lang=en,mean,capita,total population,day,97.5964187706337,69.23,maize flour
Discarded 2017 1997-2000 fortification handbook number estimated from fao (23 g/day) and 2010 Nyumuah survey number (0.8 g/day; this might be a misextraction for nutrient) in lieu of 2017 GFDx number (86 g/day),207,Ghana,56.13863807337897,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=GHA&lang=en,mean,capita,total population,day,116.58136192662106,86.36,wheat flour
Only one source.,181,Madagascar,19.986145607776148,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=MDG&lang=en,mean,capita,total population,day,47.733854392223854,33.86,maize flour
Discarded 1997-2000 fortification handbook number (12 g/day) in lieu of 2017 GFDx estimate (35 g/day). Both are FAO estimates.,181,Madagascar,22.992399590729672,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=MDG&lang=en,mean,capita,total population,day,47.747600409270326,35.37,wheat flour
Discarded 2007 Nuss number (8 g/day) in lieu of 2017 GFDx number (11 g/day). Both are FAO estimates,213,Niger,6.2744455939356305,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=NER&lang=en,mean,capita,total population,day,14.98555440606437,10.63,maize flour
Discarded 2017 1997-2000 fortification handbook number estimated from fao (10 g/day)in lieu of 2017 GFDx number (11 g/day),213,Niger,7.4431149367784775,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=NER&lang=en,mean,capita,total population,day,15.456885063221524,11.45,wheat flour
Discarded 2007 Nuss number (6.7 g/day) in lieu of 2017 GFDx estimate (5.4 g/day). Both are FAO estimates.,522,Sudan,3.1873947513878087,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=SDN&lang=en,mean,capita,total population,day,7.612605248612192,5.4,maize flour
Discarded 1997-2000 fortification handbook number (69 g/day) in lieu of 2017 GFDx estimate (123 g/day). Both are FAO estimates.,522,Sudan,80.24913003889108,g,GFDx,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=SDN&lang=en,mean,capita,total population,day,166.65086996110892,123.45,wheat flour
