location_name,vehicle,nutrient,value_description,n_data_points,mean_mean,value_means
Angola,wheat flour,na,percent of vehicle that is industrially produced,1,100.0,[100.0]
Bangladesh,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Bangladesh,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Bangladesh,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Bangladesh,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Bangladesh,oil,na,percent of population eating industrially produced vehicle,2,87.95,"[87.5, 88.4]"
Bangladesh,oil,na,percent of population eating vehicle,10,80.78,"[95.0, 89.0, 75.0, 95.0, 51.0, 59.0, 68.0, 76.0, 100.0, 99.8]"
Bangladesh,oil,vitamin a,percent of vehicle that is fortified,1,61.0,[61.0]
Bangladesh,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Bangladesh,oil,na,percent of vehicle that is industrially produced,2,52.0,"[52.0, 52.0]"
Bangladesh,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Bangladesh,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Bangladesh,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Bangladesh,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Bangladesh,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Bangladesh,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Bangladesh,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Bangladesh,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
Bangladesh,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Bangladesh,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Bangladesh,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Bangladesh,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Bangladesh,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Bangladesh,wheat flour,na,percent of population eating vehicle,12,62.35,"[40.0, 68.0, 63.0, 59.0, 70.0, 70.0, 77.0, 65.0, 76.2, 41.9, 41.9, 76.2]"
Bangladesh,wheat flour,folic acid,percent of vehicle that is fortified,1,1.0,[1.0]
Bangladesh,wheat flour,iron,percent of vehicle that is fortified,1,1.0,[1.0]
Bangladesh,wheat flour,vitamin a,percent of vehicle that is fortified,1,1.0,[1.0]
Bangladesh,wheat flour,vitamin b1,percent of vehicle that is fortified,1,1.0,[1.0]
Bangladesh,wheat flour,vitamin b12,percent of vehicle that is fortified,1,1.0,[1.0]
Bangladesh,wheat flour,zinc,percent of vehicle that is fortified,1,1.0,[1.0]
Bangladesh,wheat flour,na,percent of vehicle that is industrially produced,1,79.0,[79.0]
Burkina Faso,bouillon,folic acid,percent of market covered by fortified product,0,,[nan]
Burkina Faso,bouillon,iron,percent of market covered by fortified product,0,,[nan]
Burkina Faso,bouillon,vitamin a,percent of market covered by fortified product,0,,[nan]
Burkina Faso,bouillon,zinc,percent of market covered by fortified product,0,,[nan]
Burkina Faso,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan]
Burkina Faso,bouillon,na,percent of population eating vehicle,6,80.83333333333333,"[79.0, 98.0, 48.0, 96.0, 76.0, 88.0]"
Burkina Faso,bouillon,folic acid,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,bouillon,iron,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,bouillon,vitamin a,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,bouillon,zinc,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,bouillon,na,percent of vehicle that is industrially produced,0,,[nan]
Burkina Faso,maize flour,folic acid,percent of market covered by fortified product,0,,[nan]
Burkina Faso,maize flour,iron,percent of market covered by fortified product,0,,[nan]
Burkina Faso,maize flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Burkina Faso,maize flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Burkina Faso,maize flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Burkina Faso,maize flour,zinc,percent of market covered by fortified product,0,,[nan]
Burkina Faso,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Burkina Faso,maize flour,na,percent of population eating vehicle,4,31.15,"[0.2, 39.4, 39.0, 46.0]"
Burkina Faso,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,maize flour,na,percent of vehicle that is industrially produced,1,0.0,[0.0]
Burkina Faso,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Burkina Faso,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Burkina Faso,oil,vitamin a,percent of population eating fortified vehicle,2,72.5,"[70.0, 75.0]"
Burkina Faso,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
Burkina Faso,oil,na,percent of population eating vehicle,5,48.906,"[92.23, 30.2, 16.1, 54.0, 52.0]"
Burkina Faso,oil,vitamin a,percent of vehicle that is fortified,1,39.0,[39.0]
Burkina Faso,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,oil,na,percent of vehicle that is industrially produced,0,,[nan]
Burkina Faso,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Burkina Faso,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Burkina Faso,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Burkina Faso,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Burkina Faso,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Burkina Faso,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Burkina Faso,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Burkina Faso,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Burkina Faso,wheat flour,na,percent of population eating vehicle,10,52.3,"[48.0, 83.0, 15.0, 52.0, 41.0, 57.0, 88.0, 19.0, 58.0, 62.0]"
Burkina Faso,wheat flour,folic acid,percent of vehicle that is fortified,1,62.0,[62.0]
Burkina Faso,wheat flour,iron,percent of vehicle that is fortified,1,62.0,[62.0]
Burkina Faso,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,wheat flour,zinc,percent of vehicle that is fortified,0,,[nan]
Burkina Faso,wheat flour,na,percent of vehicle that is industrially produced,1,100.0,[100.0]
Cameroon,bouillon,folic acid,percent of market covered by fortified product,0,,[nan]
Cameroon,bouillon,iron,percent of market covered by fortified product,0,,[nan]
Cameroon,bouillon,vitamin a,percent of market covered by fortified product,0,,[nan]
Cameroon,bouillon,zinc,percent of market covered by fortified product,0,,[nan]
Cameroon,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
Cameroon,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
Cameroon,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Cameroon,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
Cameroon,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan]
Cameroon,bouillon,na,percent of population eating vehicle,7,95.25714285714285,"[96.0, 95.5, 96.8, 93.3, 96.2, 96.0, 93.0]"
Cameroon,bouillon,folic acid,percent of vehicle that is fortified,0,,[nan]
Cameroon,bouillon,iron,percent of vehicle that is fortified,0,,[nan]
Cameroon,bouillon,vitamin a,percent of vehicle that is fortified,0,,[nan]
Cameroon,bouillon,zinc,percent of vehicle that is fortified,0,,[nan]
Cameroon,bouillon,na,percent of vehicle that is industrially produced,0,,[nan]
Cameroon,maize flour,folic acid,percent of market covered by fortified product,0,,[nan]
Cameroon,maize flour,iron,percent of market covered by fortified product,0,,[nan]
Cameroon,maize flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Cameroon,maize flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Cameroon,maize flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Cameroon,maize flour,zinc,percent of market covered by fortified product,0,,[nan]
Cameroon,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Cameroon,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
Cameroon,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Cameroon,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Cameroon,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Cameroon,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Cameroon,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Cameroon,maize flour,na,percent of population eating vehicle,0,,[nan]
Cameroon,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Cameroon,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
Cameroon,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Cameroon,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Cameroon,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Cameroon,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
Cameroon,maize flour,na,percent of vehicle that is industrially produced,2,3.0,"[3.0, 3.0]"
Cameroon,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Cameroon,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Cameroon,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Cameroon,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Cameroon,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
Cameroon,oil,na,percent of population eating vehicle,10,68.79,"[82.6, 54.1, 40.7, 54.5, 54.0, 53.1, 82.4, 93.6, 81.2, 91.7]"
Cameroon,oil,vitamin a,percent of vehicle that is fortified,3,44.333333333333336,"[44.0, 35.0, 54.0]"
Cameroon,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Cameroon,oil,na,percent of vehicle that is industrially produced,0,,[nan]
Cameroon,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Cameroon,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Cameroon,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Cameroon,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Cameroon,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Cameroon,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Cameroon,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Cameroon,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
Cameroon,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Cameroon,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Cameroon,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Cameroon,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Cameroon,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Cameroon,wheat flour,na,percent of population eating vehicle,11,94.46363636363638,"[92.2, 91.2, 89.8, 98.0, 92.0, 93.7, 94.0, 97.6, 95.2, 97.0, 98.4]"
Cameroon,wheat flour,folic acid,percent of vehicle that is fortified,3,92.0,"[100.0, 100.0, 76.0]"
Cameroon,wheat flour,iron,percent of vehicle that is fortified,3,92.0,"[100.0, 100.0, 76.0]"
Cameroon,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Cameroon,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Cameroon,wheat flour,vitamin b12,percent of vehicle that is fortified,3,92.0,"[100.0, 100.0, 76.0]"
Cameroon,wheat flour,zinc,percent of vehicle that is fortified,3,92.0,"[100.0, 100.0, 76.0]"
Cameroon,wheat flour,na,percent of vehicle that is industrially produced,2,80.0,"[80.0, 80.0]"
China,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
China,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
China,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
China,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
China,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
China,oil,na,percent of population eating vehicle,0,,[nan]
China,oil,vitamin a,percent of vehicle that is fortified,0,,[nan]
China,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
China,oil,na,percent of vehicle that is industrially produced,0,,[nan]
China,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
China,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
China,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
China,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
China,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
China,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
China,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
China,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
China,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
China,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
China,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
China,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
China,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
China,wheat flour,na,percent of population eating vehicle,0,,[nan]
China,wheat flour,folic acid,percent of vehicle that is fortified,1,1.0,[1.0]
China,wheat flour,iron,percent of vehicle that is fortified,1,1.0,[1.0]
China,wheat flour,vitamin a,percent of vehicle that is fortified,1,1.0,[1.0]
China,wheat flour,vitamin b1,percent of vehicle that is fortified,1,1.0,[1.0]
China,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
China,wheat flour,zinc,percent of vehicle that is fortified,1,1.0,[1.0]
China,wheat flour,na,percent of vehicle that is industrially produced,2,89.0,"[89.0, 89.0]"
Côte d'Ivoire,bouillon,folic acid,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,bouillon,iron,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,bouillon,vitamin a,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,bouillon,zinc,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan]
Côte d'Ivoire,bouillon,na,percent of population eating vehicle,0,,[nan]
Côte d'Ivoire,bouillon,folic acid,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,bouillon,iron,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,bouillon,vitamin a,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,bouillon,zinc,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,bouillon,na,percent of vehicle that is industrially produced,0,,[nan]
Côte d'Ivoire,maize flour,folic acid,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,maize flour,iron,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,maize flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,maize flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,maize flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,maize flour,zinc,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Côte d'Ivoire,maize flour,na,percent of population eating vehicle,0,,[nan]
Côte d'Ivoire,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,maize flour,na,percent of vehicle that is industrially produced,1,100.0,[100.0]
Côte d'Ivoire,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,oil,vitamin a,percent of population eating fortified vehicle,3,81.0,"[70.0, 75.0, 98.0]"
Côte d'Ivoire,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,oil,na,percent of population eating industrially produced vehicle,1,98.0,[98.0]
Côte d'Ivoire,oil,na,percent of population eating vehicle,1,98.5,[98.5]
Côte d'Ivoire,oil,vitamin a,percent of vehicle that is fortified,3,48.666666666666664,"[53.0, 12.0, 81.0]"
Côte d'Ivoire,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,oil,na,percent of vehicle that is industrially produced,0,,[nan]
Côte d'Ivoire,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Côte d'Ivoire,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Côte d'Ivoire,wheat flour,na,percent of population eating industrially produced vehicle,1,10.2,[10.2]
Côte d'Ivoire,wheat flour,na,percent of population eating vehicle,1,54.7,[54.7]
Côte d'Ivoire,wheat flour,folic acid,percent of vehicle that is fortified,1,99.0,[99.0]
Côte d'Ivoire,wheat flour,iron,percent of vehicle that is fortified,1,99.0,[99.0]
Côte d'Ivoire,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,wheat flour,zinc,percent of vehicle that is fortified,0,,[nan]
Côte d'Ivoire,wheat flour,na,percent of vehicle that is industrially produced,2,98.0,"[98.0, 98.0]"
Democratic Republic of the Congo,bouillon,folic acid,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,bouillon,iron,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,bouillon,vitamin a,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,bouillon,zinc,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,bouillon,iron,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan]
Democratic Republic of the Congo,bouillon,na,percent of population eating vehicle,0,,[nan]
Democratic Republic of the Congo,bouillon,folic acid,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,bouillon,iron,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,bouillon,vitamin a,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,bouillon,zinc,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,bouillon,na,percent of vehicle that is industrially produced,0,,[nan]
Democratic Republic of the Congo,maize flour,folic acid,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,maize flour,iron,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,maize flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,maize flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,maize flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,maize flour,zinc,percent of market covered by fortified product,0,,[nan]
Democratic Republic of the Congo,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Democratic Republic of the Congo,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Democratic Republic of the Congo,maize flour,na,percent of population eating vehicle,8,45.255,"[20.7, 27.2, 42.7, 30.0, 64.0, 31.0, 53.0, 93.44]"
Democratic Republic of the Congo,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Democratic Republic of the Congo,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
